index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.524,0.41328275862068964,1171.2195315361023,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zfeaturemap at 0x7fc0556403a0>,full,,281,lda
1,0.536,0.44715912743972447,1400.1444561481476,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zfeaturemap at 0x7fc0556403a0>,linear,,356,lda
2,0.536,0.5030924257590923,1467.82532787323,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zfeaturemap at 0x7fc0556403a0>,circular,,363,lda
3,0.484,0.32847352561343085,1306.0633330345154,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zfeaturemap at 0x7fc0556403a0>,sca,,325,lda
4,0.536,0.5392751108540581,2124.498975753784,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,full,full,355,lda
5,0.596,0.5887642857142857,2180.353105545044,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,full,linear,449,lda
6,0.52,0.5235219598329216,1899.661507844925,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,full,circular,383,lda
7,0.528,0.5454117647058824,1733.3720667362213,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,full,pairwise,356,lda
8,0.508,0.5126600143151868,1659.8406286239624,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,full,sca,333,lda
9,0.444,0.4652861785933299,1568.7362849712372,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,linear,full,272,lda
10,0.608,0.5821772248803828,1495.6124551296234,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,linear,linear,327,lda
11,0.604,0.5876352134949921,2349.753739595413,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,linear,circular,500,lda
12,0.512,0.44011678832116785,1632.1101207733154,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,linear,pairwise,357,lda
13,0.576,0.5712547629431836,1659.715062379837,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,linear,sca,353,lda
14,0.448,0.486540259061821,1831.1618416309357,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,circular,full,314,lda
15,0.588,0.5919972997596127,1944.874694108963,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,circular,linear,415,lda
16,0.576,0.5689642857142857,2197.124986886978,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,circular,circular,468,lda
