index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.548,0.444896256389004,1917.531441450119,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,full,,358,lda
1,0.5,0.3523668356591578,1917.1095578670502,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,linear,,382,lda
2,0.5,0.3393227150208281,1807.562833070755,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,circular,,367,lda
3,0.5,0.34178746594005444,1758.0773735046387,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,sca,,359,lda
4,0.476,0.4788196274499592,2729.724843978882,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,full,348,lda
5,0.576,0.5682788365386151,1781.1548240184784,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,linear,289,lda
6,0.464,0.45807112635791875,1658.220317363739,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,circular,259,lda
7,0.584,0.5800432645034415,2263.620375394821,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,pairwise,364,lda
8,0.6,0.6000210668655407,2658.338440179825,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,sca,416,lda
9,0.476,0.49298139037433153,2514.441836118698,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,full,347,lda
10,0.496,0.48526878694061354,1733.4361696243286,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,linear,293,lda
11,0.508,0.5159409685601636,2344.083625793457,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,circular,395,lda
12,0.596,0.5776324641620189,1850.6131978034973,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,pairwise,322,lda
13,0.556,0.570628309783737,1406.8773431777954,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,sca,239,lda
14,0.484,0.5084007338721674,1839.5648982524872,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,circular,full,252,lda
