index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.612,0.5765428232502966,2153.124127149582,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zfeaturemap at 0x7f25ba2073a0>,full,,500,lda
1,0.528,0.409620713150125,1849.92671251297,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zfeaturemap at 0x7f25ba2073a0>,linear,,458,lda
2,0.512,0.3594214876033058,1441.080468416214,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zfeaturemap at 0x7f25ba2073a0>,circular,,364,lda
3,0.48,0.41007985803016855,1303.6426992416382,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zfeaturemap at 0x7f25ba2073a0>,sca,,328,lda
4,0.504,0.521413953488372,1691.4347438812256,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,full,full,286,lda
5,0.568,0.5546662550381615,1308.4706375598907,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,full,linear,277,lda
6,0.548,0.5410746737419742,1633.023822069168,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,full,circular,328,lda
7,0.576,0.5719042656839072,2028.2310719490051,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,full,pairwise,423,lda
8,0.492,0.507530076266707,2355.0003814697266,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,full,sca,475,lda
9,0.492,0.5101983603285406,1778.0125889778137,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,full,313,lda
10,0.58,0.5771287020090945,1866.457992553711,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,linear,411,lda
11,0.588,0.5776106954578043,1950.0550076961517,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,circular,416,lda
