index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.552,0.5421583512373678,2023.007738351822,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,full,,379,lda
1,0.548,0.5419575091575091,1731.5347211360931,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,linear,,360,lda
2,0.408,0.4345495124227522,1229.8474016189575,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,circular,,248,lda
3,0.568,0.5548559667324737,1967.5294008255005,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,sca,,404,lda
4,0.232,0.2949555681167789,2465.7893760204315,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,full,311,lda
5,0.204,0.25996213810688745,1780.6695129871368,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,linear,282,lda
6,0.188,0.2574432024217111,1204.0880994796753,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,circular,183,lda
7,0.18,0.24104370960229826,1127.7253904342651,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,pairwise,178,lda
8,0.168,0.21036576673222485,1247.3963809013367,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,sca,191,lda
9,0.184,0.23859387391904746,1315.4955015182495,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,full,179,lda
10,0.14,0.20219058050383354,965.2891550064087,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,linear,169,lda
11,0.2,0.24724929855277014,1071.5950343608856,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,circular,182,lda
12,0.176,0.23838336139807947,1628.1235182285309,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,pairwise,284,lda
13,0.224,0.28151246205146524,1174.8496222496033,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,sca,199,lda
14,0.156,0.20551520066670756,1173.6018180847168,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,full,160,lda
15,0.236,0.29072671033857883,1140.992888212204,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,linear,192,lda
16,0.152,0.19695999188682115,1189.8368439674377,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,circular,201,lda
17,0.228,0.29705636997484663,1888.3565423488617,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,pairwise,327,lda
18,0.192,0.24088566961377883,1480.5411217212677,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,sca,251,lda
19,0.144,0.1949014553014553,1347.621862411499,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,full,185,lda
20,0.2,0.26675161794779256,1120.634754896164,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,linear,195,lda
21,0.188,0.2491486032473913,1334.1117873191833,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,circular,224,lda
22,0.192,0.2410815128888435,948.1603274345398,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,pairwise,161,lda
