index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
20,0.456,0.4409266350512028,2201.489187002182,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zfeaturemap at 0x7f12f6cde040>,full,,399,lda
21,0.528,0.5149846634365115,2295.4679951667786,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zfeaturemap at 0x7f12f6cde040>,linear,,463,lda
22,0.528,0.5252234918407095,2478.1233656406403,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zfeaturemap at 0x7f12f6cde040>,circular,,500,lda
23,0.54,0.5191772156586792,1865.2388446331024,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zfeaturemap at 0x7f12f6cde040>,sca,,379,lda
24,0.172,0.2105578189276097,1762.961330652237,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,full,full,219,lda
25,0.18,0.2322853719825759,1544.6689162254331,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,full,linear,242,lda
26,0.2,0.2796221771467208,1202.7722704410553,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,full,circular,185,lda
27,0.164,0.2197757317859446,1516.473793745041,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,full,pairwise,237,lda
28,0.148,0.2060124223602484,1146.0343973636627,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,full,sca,177,lda
29,0.164,0.2225942100909842,1125.9698705673218,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,linear,full,154,lda
30,0.204,0.2536730490803812,1084.14759016037,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,linear,linear,184,lda
31,0.236,0.2961984323733917,1356.5493879318235,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,linear,circular,226,lda
32,0.228,0.2941908085450238,1418.9986064434052,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,linear,pairwise,241,lda
33,0.16,0.2222138422802667,1037.212563753128,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,linear,sca,174,lda
34,0.14,0.1885930285100057,1531.2342100143433,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,circular,full,205,lda
35,0.172,0.2244775571467237,1206.6663863658905,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,circular,linear,208,lda
36,0.16,0.1991005520075268,1042.253190755844,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,circular,circular,171,lda
37,0.148,0.178079443079443,1034.9908888339996,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,circular,pairwise,174,lda
38,0.184,0.2309798784870179,1146.9485864639282,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,circular,sca,190,lda
39,0.232,0.2905989885744648,1721.4467146396637,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,sca,full,224,lda
40,0.196,0.240101276742581,1287.3833599090576,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,sca,linear,218,lda
41,0.148,0.1932166024210455,1141.3835418224337,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,sca,circular,188,lda
42,0.176,0.2304619820723375,1330.946805715561,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,sca,pairwise,222,lda
43,0.188,0.2438804720934635,1066.750984430313,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,sca,sca,171,lda
49,0.304,0.3748119850685411,621.0767953395844,<function get_paulitwodesign at 0x7f12c72ef940>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zfeaturemap at 0x7f12f6cde040>,,,151,lda
50,0.152,0.1856676044840001,636.1557970046997,<function get_paulitwodesign at 0x7f12c72ef940>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,,full,97,lda
51,0.164,0.2130004069504935,465.10407304763794,<function get_paulitwodesign at 0x7f12c72ef940>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,,linear,91,lda
52,0.16,0.2054233070538803,617.3138864040375,<function get_paulitwodesign at 0x7f12c72ef940>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,,circular,121,lda
53,0.192,0.2428920925999289,474.8048248291016,<function get_paulitwodesign at 0x7f12c72ef940>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,,pairwise,96,lda
54,0.14,0.188658265714133,418.0270085334778,<function get_paulitwodesign at 0x7f12c72ef940>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,,sca,79,lda
75,0.464,0.4830401632297263,989.3580281734468,<function get_realamplitudes at 0x7f12c6ccde50>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zfeaturemap at 0x7f12f6cde040>,full,,217,lda
76,0.496,0.4837712154945018,1132.443957567215,<function get_realamplitudes at 0x7f12c6ccde50>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zfeaturemap at 0x7f12f6cde040>,linear,,282,lda
77,0.544,0.5328029594964097,1001.0533065795898,<function get_realamplitudes at 0x7f12c6ccde50>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zfeaturemap at 0x7f12f6cde040>,circular,,244,lda
78,0.492,0.5037242407816982,674.7031211853027,<function get_realamplitudes at 0x7f12c6ccde50>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zfeaturemap at 0x7f12f6cde040>,sca,,162,lda
