index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.512,0.52293303653524,1235.0862855911255,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,full,,286,lda
1,0.612,0.5964193319118692,2026.4207227230072,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,linear,,500,lda
2,0.552,0.54141011462836,1902.9199709892273,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,circular,,466,lda
3,0.568,0.5478622813215089,1837.2509684562683,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,sca,,493,lda
4,0.192,0.22868335871868972,1213.0030808448792,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,full,201,lda
5,0.216,0.29228088808946545,1250.2121460437775,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,linear,253,lda
6,0.204,0.2444478264027573,1218.2892754077911,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,circular,240,lda
7,0.212,0.2559445264974677,988.0004625320435,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,pairwise,199,lda
8,0.136,0.16219158143104856,794.1466562747955,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,sca,157,lda
9,0.168,0.20180180005180007,1223.3815524578094,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,full,213,lda
10,0.192,0.24876796251555752,1357.7736172676086,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,linear,291,lda
11,0.208,0.2754585953306173,1150.8207104206085,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,circular,240,lda
12,0.204,0.25892779686016615,964.6224474906921,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,pairwise,206,lda
13,0.14,0.19561827733811826,886.5069215297699,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,sca,185,lda
14,0.18,0.24516087581986204,1121.689849615097,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,full,193,lda
15,0.252,0.3241158163511105,1349.9830627441406,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,linear,288,lda
16,0.188,0.24683034188034186,968.3983085155487,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,circular,200,lda
17,0.188,0.24254307714243342,1249.2472286224365,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,pairwise,265,lda
18,0.208,0.2568198470421587,953.5771727561951,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,sca,200,lda
19,0.172,0.22507545470799542,1157.5763943195343,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,full,201,lda
20,0.152,0.1917360591684778,771.8129968643188,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,linear,165,lda
21,0.136,0.179440252609486,893.7957067489624,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,circular,188,lda
22,0.2,0.23803396540174881,1332.586814880371,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,pairwise,285,lda
23,0.18,0.23849233742277398,898.8265459537506,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,sca,189,lda
24,0.388,0.4441640561849864,682.3494665622711,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,,,189,lda
25,0.18,0.24310630260903857,555.7984342575073,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,,full,103,lda
26,0.244,0.30956859743452736,474.60727643966675,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,,linear,114,lda
27,0.132,0.17618288253377767,541.9641265869141,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,,circular,128,lda
28,0.18,0.22035511653684198,539.7926499843597,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,,pairwise,127,lda
29,0.184,0.23956877926982664,444.5599730014801,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,,sca,105,lda
30,0.368,0.391065211062591,556.2374227046967,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,full,,148,lda
31,0.424,0.4628274050139476,466.88140654563904,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,linear,,135,lda
32,0.476,0.47398232589876893,632.4666874408722,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,circular,,181,lda
33,0.572,0.5689770856251303,649.4116871356964,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,sca,,188,lda
34,0.208,0.258134833324304,502.2240996360779,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,full,93,lda
35,0.228,0.2788962911916005,438.34473276138306,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,linear,102,lda
36,0.224,0.2778203808975361,436.8601472377777,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,circular,98,lda
37,0.148,0.19552845312333805,504.93980145454407,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,pairwise,117,lda
38,0.14,0.1970617365777351,564.4925560951233,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,sca,125,lda
39,0.216,0.26571068125894254,647.0216734409332,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,full,123,lda
40,0.168,0.22694901624342256,332.0661654472351,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,linear,82,lda
41,0.244,0.29493039871627486,639.4909482002258,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,circular,154,lda
42,0.268,0.315463703729503,690.3807425498962,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,pairwise,168,lda
43,0.18,0.23870947947524337,415.2764184474945,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,sca,100,lda
44,0.192,0.2539325482504329,614.2576496601105,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,full,119,lda
45,0.216,0.24939435999080942,432.0096912384033,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,linear,106,lda
46,0.152,0.2133372289268442,351.1516487598419,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,circular,84,lda
47,0.24,0.2922348313700964,417.25294733047485,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,pairwise,102,lda
48,0.196,0.26227250709653893,468.4185266494751,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,sca,112,lda
49,0.144,0.19157528957528955,480.9405496120453,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,full,93,lda
50,0.216,0.2738850928589837,531.9369525909424,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,linear,131,lda
51,0.156,0.21025079799361604,375.3652105331421,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,circular,90,lda
52,0.232,0.27281829642687305,491.62177896499634,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,pairwise,115,lda
53,0.224,0.292309562027058,448.99228835105896,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,sca,105,lda
54,0.524,0.5389595906586199,610.4934010505676,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,full,,163,lda
55,0.52,0.5292476213574395,592.368766784668,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,linear,,170,lda
56,0.552,0.5393853725222146,765.293374300003,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,circular,,219,lda
57,0.532,0.5310238213399504,600.4895417690277,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,pairwise,,185,lda
58,0.512,0.5182510888226258,646.8304233551025,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,sca,,184,lda
59,0.164,0.21646187363834427,518.8783710002899,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,full,97,lda
60,0.156,0.20738463014216937,358.0059759616852,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,linear,82,lda
61,0.204,0.27780882926919137,467.3569529056549,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,circular,105,lda
62,0.196,0.25649754689754695,539.7574136257172,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,pairwise,126,lda
63,0.204,0.26538440794724244,498.327378988266,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,sca,119,lda
64,0.196,0.2551114281489017,613.025387763977,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,full,117,lda
65,0.2,0.2583770477801124,530.1067776679993,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,linear,145,lda
66,0.184,0.23795484967010386,772.3765337467194,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,circular,184,lda
67,0.192,0.23481695906432748,393.9731991291046,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,pairwise,124,lda
68,0.152,0.19547355525053733,487.04419922828674,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,sca,117,lda
69,0.18,0.22948892892892897,503.88979482650757,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,full,107,lda
70,0.24,0.2848356651575694,368.3538098335266,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,linear,90,lda
