index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.496,0.3893354231974921,1349.933839082718,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zfeaturemap at 0x7fc0556403a0>,full,,269,pca
1,0.492,0.37399265919448205,1786.7958974838257,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zfeaturemap at 0x7fc0556403a0>,linear,,390,pca
2,0.476,0.4283423670668953,2397.482647895813,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zfeaturemap at 0x7fc0556403a0>,circular,,500,pca
3,0.496,0.3341493317031149,1858.5337347984314,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zfeaturemap at 0x7fc0556403a0>,sca,,393,pca
4,0.268,0.32576562128374037,1744.6943352222443,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,full,full,234,pca
5,0.296,0.32785745433055075,1416.6197822093964,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,full,linear,245,pca
6,0.372,0.39642786069651736,1902.4839560985565,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,full,circular,322,pca
7,0.308,0.3544643292257615,1363.277664422989,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,full,pairwise,235,pca
8,0.392,0.41665939393939383,2704.713567495346,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,full,sca,451,pca
9,0.208,0.2663068261787473,1530.3242149353027,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,linear,full,214,pca
10,0.348,0.36839246917703733,1661.1630764007568,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_cobyla at 0x7fc01d1e6940>,<function get_zzfeaturemap at 0x7fc055640430>,linear,linear,307,pca
