index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.48,0.3898650619410263,2411.1851060390472,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,full,,371,pca
1,0.528,0.43325878548329144,2556.935321331024,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,linear,,462,pca
2,0.472,0.3928413373860183,2845.904707431793,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,circular,,490,pca
3,0.496,0.3360913043478261,2239.923779964447,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,sca,,383,pca
4,0.208,0.26069966996699667,2195.099450111389,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,full,222,pca
5,0.34,0.35558620347394543,3613.24817943573,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,linear,471,pca
6,0.384,0.4142305225719689,3104.4455778598785,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,circular,393,pca
7,0.412,0.4185657630093975,3513.3733179569244,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,pairwise,465,pca
8,0.396,0.4070062111801242,3076.3840165138245,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,sca,398,pca
9,0.296,0.33375648575521244,2342.905769109726,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,full,256,pca
10,0.336,0.3599501454745616,2080.0313091278076,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,linear,308,pca
11,0.376,0.4029721841085308,2412.4437520504,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,circular,348,pca
12,0.32,0.3489671954134599,1604.1340897083282,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,pairwise,237,pca
13,0.308,0.3281260073260074,2126.630272626877,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,sca,308,pca
14,0.244,0.29931402245896915,2718.4290823936462,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,circular,full,294,pca
15,0.384,0.4122444444444444,2148.070130586624,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,circular,linear,313,pca
16,0.32,0.354411820063994,2595.9631609916687,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,circular,circular,363,pca
17,0.38,0.36773979797979794,2941.477548122406,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,circular,pairwise,430,pca
18,0.324,0.3640645631147407,1757.295974969864,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,circular,sca,245,pca
19,0.388,0.4082613965744401,2901.182497024536,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,sca,full,304,pca
20,0.372,0.3821308863676568,3195.469886302948,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,sca,linear,470,pca
21,0.332,0.3722740568670881,1917.1390674114227,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,sca,circular,276,pca
22,0.384,0.3786752820512821,2564.173689842224,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,sca,pairwise,377,pca
23,0.4,0.43475536514994795,2321.7868609428406,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,sca,sca,335,pca
24,0.428,0.38509995124329593,972.1878635883331,<function get_paulitwodesign at 0x7f3a0e94f4c0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,,,201,pca
25,0.292,0.33324121475960405,1538.6078345775604,<function get_paulitwodesign at 0x7f3a0e94f4c0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,,full,186,pca
26,0.328,0.3592495831641051,733.3559572696686,<function get_paulitwodesign at 0x7f3a0e94f4c0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,,linear,125,pca
27,0.276,0.3192031272271217,787.4439988136292,<function get_paulitwodesign at 0x7f3a0e94f4c0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,,circular,131,pca
28,0.34,0.3615977315261158,867.2947618961334,<function get_paulitwodesign at 0x7f3a0e94f4c0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,,pairwise,147,pca
29,0.392,0.42064809458759245,945.1982419490814,<function get_paulitwodesign at 0x7f3a0e94f4c0>,<function get_cobyla at 0x7f39d7708f70>,<function get_zzfeaturemap at 0x7f3a0e94f280>,,sca,156,pca
30,0.484,0.3730598290598291,958.3016216754913,<function get_realamplitudes at 0x7f3a08298550>,<function get_cobyla at 0x7f39d7708f70>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,full,,174,pca
31,0.444,0.34922647962724296,730.6881749629974,<function get_realamplitudes at 0x7f3a08298550>,<function get_cobyla at 0x7f39d7708f70>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,linear,,157,pca
