index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.54,0.4831529895212656,2564.3391671180725,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zfeaturemap at 0x7f25ba2073a0>,full,,500,pca
1,0.488,0.3235795148247978,2331.2752561569214,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zfeaturemap at 0x7f25ba2073a0>,linear,,500,pca
2,0.464,0.4254065934065935,1754.0668511390686,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zfeaturemap at 0x7f25ba2073a0>,circular,,367,pca
3,0.484,0.4492903225806451,2347.756536960602,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zfeaturemap at 0x7f25ba2073a0>,sca,,500,pca
4,0.276,0.33563158278520083,1427.0023345947266,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,full,full,191,pca
5,0.348,0.3616334547644136,1928.379546403885,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,full,linear,334,pca
6,0.448,0.47314892546375464,1612.7305834293365,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,full,circular,272,pca
7,0.412,0.43728749181649984,1816.2762415409088,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,full,pairwise,315,pca
8,0.384,0.4117832702673554,1392.0801017284393,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,full,sca,234,pca
9,0.296,0.3570595004872045,1764.0678315162659,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,full,245,pca
10,0.368,0.3919570487629379,2151.1324536800385,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,linear,400,pca
11,0.424,0.4370719367588933,2477.1012783050537,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,circular,453,pca
12,0.376,0.3928241210507849,1757.160978794098,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,pairwise,325,pca
13,0.368,0.3722524029642673,1781.0428194999695,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,sca,321,pca
14,0.296,0.3595603641612565,2073.686668395996,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,full,288,pca
15,0.368,0.398987668593449,1581.3551411628723,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,linear,287,pca
16,0.344,0.3644542132396249,1677.9628183841705,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,circular,303,pca
17,0.396,0.41589626373626376,1934.3313200473785,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,pairwise,358,pca
18,0.36,0.37721339427108547,2386.113315820694,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,sca,431,pca
19,0.32,0.38508548404761217,1933.3066234588623,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,full,274,pca
20,0.436,0.4597957120054518,1603.6557207107544,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,linear,296,pca
21,0.3,0.3159701560391181,1426.2600541114807,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,circular,255,pca
22,0.36,0.376896279809221,1798.077715396881,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,pairwise,333,pca
23,0.364,0.3856700960673891,1830.4949231147766,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,sca,333,pca
24,0.492,0.3887652990744577,808.0704653263092,<function get_paulitwodesign at 0x7f25ba207670>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zfeaturemap at 0x7f25ba2073a0>,,,200,pca
25,0.204,0.2592073086263886,751.5410146713257,<function get_paulitwodesign at 0x7f25ba207670>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,,full,110,pca
26,0.336,0.36634421184754606,875.8155307769775,<function get_paulitwodesign at 0x7f25ba207670>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,,linear,182,pca
27,0.368,0.4145677928916192,870.5338971614838,<function get_paulitwodesign at 0x7f25ba207670>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,,circular,178,pca
28,0.368,0.3827870747101868,684.4587421417236,<function get_paulitwodesign at 0x7f25ba207670>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,,pairwise,142,pca
29,0.328,0.36640398671096347,677.4651613235474,<function get_paulitwodesign at 0x7f25ba207670>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zzfeaturemap at 0x7f25ba207430>,,sca,138,pca
30,0.46,0.38801454545454545,819.4760749340057,<function get_realamplitudes at 0x7f25b3607160>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zfeaturemap at 0x7f25ba2073a0>,full,,186,pca
31,0.492,0.32448257372654155,642.4414608478546,<function get_realamplitudes at 0x7f25b3607160>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zfeaturemap at 0x7f25ba2073a0>,linear,,160,pca
32,0.44,0.40529351419126863,858.2607231140137,<function get_realamplitudes at 0x7f25b3607160>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zfeaturemap at 0x7f25ba2073a0>,circular,,211,pca
33,0.508,0.38125453985841795,730.8914449214935,<function get_realamplitudes at 0x7f25b3607160>,<function get_cobyla at 0x7f2581dab8b0>,<function get_zfeaturemap at 0x7f25ba2073a0>,sca,,182,pca
