index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.408,0.39611384783798576,3054.7571465969086,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,full,,474,pca
1,0.424,0.4354160225739173,2452.908504962921,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,linear,,435,pca
2,0.268,0.29096630335302437,1674.7342903614044,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,circular,,290,pca
3,0.432,0.41673032467054405,2158.0984582901,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,sca,,377,pca
4,0.22,0.2869707705533215,2251.014969587326,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,full,221,pca
5,0.188,0.2614159777302167,1561.0531384944916,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,linear,205,pca
6,0.176,0.22964425269213232,1509.0646114349365,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,circular,192,pca
7,0.196,0.24048168162340255,1965.8209776878357,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,pairwise,253,pca
8,0.184,0.2371541996950458,1612.7017965316772,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,sca,206,pca
9,0.152,0.19176106453269373,1882.7628362178802,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,full,197,pca
10,0.22,0.28224337190612414,1898.1399774551392,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,linear,276,pca
11,0.188,0.2403384779471736,1823.1062433719635,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,circular,261,pca
12,0.14,0.18162751945746058,1177.6650817394257,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,pairwise,174,pca
13,0.192,0.24481196401404506,2232.2964560985565,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,sca,319,pca
14,0.116,0.15907093616498794,2013.144758939743,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,full,216,pca
15,0.2,0.26593546305290106,1202.5192317962646,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,linear,169,pca
16,0.164,0.21054628554516527,2074.4179322719574,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,circular,302,pca
17,0.188,0.2323980861244019,3002.6601469516754,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,pairwise,443,pca
18,0.188,0.25553558052434455,1430.2663815021515,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,sca,208,pca
19,0.184,0.24513664966647775,2430.192889213562,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,full,265,pca
20,0.236,0.29601227183505663,2070.554945707321,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,linear,297,pca
21,0.168,0.22430801005198955,1744.4144418239594,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,circular,243,pca
22,0.204,0.2555308736929688,1237.6750855445862,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,pairwise,184,pca
23,0.208,0.2728081471084228,1723.04425406456,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,sca,249,pca
24,0.392,0.41091140379657837,818.666540145874,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,,,171,pca
25,0.172,0.22830685298301398,1000.0304005146027,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,,full,123,pca
26,0.172,0.23425170296863174,588.7808239459991,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,,linear,100,pca
27,0.208,0.2596726319334199,861.1989426612854,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,,circular,139,pca
28,0.168,0.2256209216155302,543.9851417541504,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,,pairwise,93,pca
29,0.16,0.1999072780370909,687.8343994617462,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,,sca,115,pca
30,0.42,0.39190238333095473,1025.7507038116455,<function get_realamplitudes at 0x7f7db23d5550>,<function get_cobyla at 0x7f7d81845f70>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,full,,185,pca
31,0.312,0.3046793650793651,825.3321783542633,<function get_realamplitudes at 0x7f7db23d5550>,<function get_cobyla at 0x7f7d81845f70>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,linear,,175,pca
32,0.364,0.38055726438527177,865.3361685276031,<function get_realamplitudes at 0x7f7db23d5550>,<function get_cobyla at 0x7f7d81845f70>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,circular,,181,pca
33,0.332,0.3688472089314195,691.1939072608948,<function get_realamplitudes at 0x7f7db23d5550>,<function get_cobyla at 0x7f7d81845f70>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,sca,,144,pca
34,0.172,0.2179577055533133,1230.54976272583,<function get_realamplitudes at 0x7f7db23d5550>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,full,134,pca
35,0.208,0.2577146737482872,926.796046257019,<function get_realamplitudes at 0x7f7db23d5550>,<function get_cobyla at 0x7f7d81845f70>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,linear,140,pca
