index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
20,0.388,0.4002953034760815,2420.2907044887543,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zfeaturemap at 0x7f12f6cde040>,full,,366,pca
21,0.416,0.4209065158719958,2218.388020992279,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zfeaturemap at 0x7f12f6cde040>,linear,,382,pca
22,0.372,0.3661355055379345,2906.625932693481,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zfeaturemap at 0x7f12f6cde040>,circular,,498,pca
23,0.34,0.3777417447958049,1592.7235805988312,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zfeaturemap at 0x7f12f6cde040>,sca,,269,pca
24,0.188,0.2456291068795631,2239.1405024528503,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,full,full,223,pca
25,0.22,0.281910311180901,2108.3951070308685,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,full,linear,277,pca
26,0.172,0.2266782382603182,1949.836953639984,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,full,circular,251,pca
27,0.192,0.2452718047722629,1677.7804682254791,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,full,pairwise,218,pca
28,0.2,0.2529432676808893,1956.523481845856,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,full,sca,250,pca
29,0.18,0.2464655910906022,1898.131600856781,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,linear,full,203,pca
30,0.212,0.2718863478863479,1729.2787337303162,<function get_efficientsu2 at 0x7f12c6ccdee0>,<function get_cobyla at 0x7f12c6ccdf70>,<function get_zzfeaturemap at 0x7f12f6cde0d0>,linear,linear,251,pca
