index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.332,0.3447289959839357,2012.6383171081543,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,full,,391,pca
1,0.376,0.35230141452888997,1231.0180206298828,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,linear,,264,pca
2,0.34,0.35898092479776283,1373.1977512836456,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,circular,,282,pca
3,0.292,0.32364217606167434,1064.0533146858215,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,sca,,219,pca
4,0.176,0.23452633384852467,1359.3612632751465,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,full,179,pca
5,0.184,0.236110406790872,1868.2581806182861,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,linear,318,pca
6,0.196,0.258203215178526,1317.9712674617767,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,circular,220,pca
7,0.212,0.2693531860732251,1728.721246957779,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,pairwise,294,pca
8,0.212,0.2641808731516162,1456.5637505054474,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,sca,244,pca
9,0.184,0.23722876985376418,1490.1225020885468,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,full,207,pca
10,0.22,0.27084839722572124,1118.5796825885773,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,linear,205,pca
11,0.184,0.2380778221415608,1690.222760438919,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,circular,303,pca
12,0.208,0.2607592781636125,1342.9468250274658,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,pairwise,245,pca
13,0.18,0.22805017955624984,1546.9962849617004,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,sca,277,pca
14,0.2,0.24772913816689468,1488.2839119434357,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,full,202,pca
15,0.172,0.22561326897497108,1017.1825542449951,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,linear,181,pca
16,0.16,0.2086644645143744,1216.360683441162,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,circular,216,pca
17,0.192,0.24639692547100653,1220.0530440807343,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,pairwise,220,pca
18,0.228,0.2859230911694879,1683.3639760017395,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,sca,297,pca
19,0.212,0.2801868456706816,1514.0839266777039,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,full,202,pca
20,0.184,0.23445019558598817,1241.0900642871857,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,linear,223,pca
21,0.184,0.25124091459085085,1735.8228414058685,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,circular,305,pca
22,0.208,0.2627633687155935,1511.9254250526428,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,pairwise,275,pca
23,0.176,0.22827102046136866,1653.0300753116608,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,sca,295,pca
24,0.284,0.3141314599379116,648.0296833515167,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,,,156,pca
25,0.136,0.1852381113643764,828.2744691371918,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,,full,126,pca
26,0.16,0.19340749197892054,449.1098313331604,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,,linear,91,pca
27,0.184,0.2314051048885711,644.0624332427979,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,,circular,127,pca
28,0.16,0.20702736781338538,430.1690080165863,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,,pairwise,88,pca
29,0.168,0.22334595071802077,474.38698387145996,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,,sca,95,pca
30,0.348,0.3462093842966426,896.8562593460083,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,full,,196,pca
31,0.372,0.39055684639671395,718.2912969589233,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,linear,,175,pca
32,0.304,0.33403495798319327,740.9945781230927,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,circular,,179,pca
33,0.444,0.3973533834586466,1070.5145454406738,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,sca,,263,pca
34,0.164,0.22308857336037863,847.7145907878876,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,full,118,pca
35,0.184,0.2523998638845633,573.9228568077087,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,linear,110,pca
36,0.192,0.23755636621843518,785.037623167038,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,circular,148,pca
37,0.196,0.24184630751841077,583.5233178138733,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,pairwise,113,pca
38,0.188,0.2369763709058365,657.1151080131531,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,sca,122,pca
39,0.168,0.2274367547156436,621.3188827037811,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,full,95,pca
40,0.196,0.26442691284010233,605.7898609638214,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,linear,127,pca
41,0.156,0.2003368284347232,615.7031636238098,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,circular,123,pca
42,0.176,0.2317037272715748,722.5419046878815,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,pairwise,150,pca
43,0.244,0.30342252229524774,739.5968472957611,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,sca,150,pca
44,0.176,0.217078212218129,655.0482082366943,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,full,99,pca
45,0.208,0.26840523447141096,578.3825862407684,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,linear,119,pca
46,0.212,0.2788286127344757,610.3018727302551,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,circular,122,pca
47,0.168,0.21047815114250265,426.9988875389099,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,pairwise,87,pca
48,0.168,0.22308778955060282,553.7040209770203,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,sca,112,pca
49,0.164,0.22771940197765853,713.264785528183,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,full,110,pca
50,0.22,0.28142860621803717,667.7594435214996,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,linear,139,pca
51,0.172,0.2215278995771683,625.4175751209259,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,circular,127,pca
52,0.168,0.217247184903316,492.92492938041687,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,pairwise,102,pca
53,0.188,0.23712979361723546,719.3916471004486,<function get_realamplitudes at 0x7fb2a5dd0160>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,sca,145,pca
54,0.352,0.3701636209094773,752.3707268238068,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,full,,167,pca
55,0.38,0.4056506752506754,604.2616229057312,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,linear,,154,pca
56,0.348,0.3579426795426795,604.5926809310913,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,circular,,144,pca
57,0.324,0.34207755459341804,546.9693338871002,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,pairwise,,135,pca
58,0.348,0.3549621621621622,553.4362874031067,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,sca,,135,pca
59,0.192,0.2529800291849072,731.1375141143799,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,full,110,pca
60,0.212,0.26034802768214993,854.6385676860809,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,linear,163,pca
61,0.188,0.236478057106922,514.396598815918,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,circular,103,pca
62,0.204,0.26033363507047713,831.498063325882,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,pairwise,160,pca
63,0.192,0.2376839594514013,515.8601505756378,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,sca,113,pca
64,0.224,0.295689099859353,670.8228085041046,<function get_twolocal at 0x7fb2ac9d34c0>,<function get_cobyla at 0x7fb274578940>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,full,104,pca
