index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.032,0.03452673199894056,4845.570334911346,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,full,,884,lda
1,0.108,0.1527862676911863,3078.0061144828796,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,linear,,616,lda
2,0.232,0.28233084843475814,3769.9525804519653,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,circular,,767,lda
3,0.032,0.02411643032863926,3337.31963968277,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,sca,,680,lda
4,0.26,0.25625959443606494,7888.488054990768,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,full,1000,lda
5,0.276,0.30058757144920656,5988.141273260117,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,linear,963,lda
6,0.06,0.0771514414892268,5787.273005247116,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,circular,893,lda
7,0.188,0.21259341005768614,6244.206334352493,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,pairwise,1000,lda
8,0.112,0.1587726761183868,6248.3684248924255,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,sca,970,lda
9,0.132,0.1584173262613899,6511.974160432816,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,full,891,lda
10,0.12,0.1722396082178691,5142.5859887599945,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,linear,883,lda
11,0.2,0.24797370809401603,5918.889008998871,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,circular,1000,lda
12,0.04,0.044177468630660126,4406.710773468018,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,pairwise,773,lda
13,0.06,0.06742415187191123,5828.7675795555115,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,sca,1000,lda
