index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.164,0.22858076846494985,5432.326899528503,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,full,,1000,lda
1,0.228,0.27533003249767807,4920.887881755829,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,linear,,1000,lda
2,0.156,0.16676598428052894,4930.859015464783,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,circular,,1000,lda
3,0.148,0.19609659974705848,4961.549075126648,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,sca,,1000,lda
4,0.18,0.24147327141382868,7735.713626384735,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,full,1000,lda
5,0.16,0.2105550193050193,6153.735291481018,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,linear,1000,lda
6,0.128,0.16612525411502393,6393.903341770172,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,circular,1000,lda
7,0.156,0.20393650793650792,6308.254488229752,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,pairwise,1000,lda
8,0.088,0.1234723404255319,6359.190691947937,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,sca,1000,lda
9,0.152,0.2006506909087932,7175.115829706192,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,full,1000,lda
10,0.172,0.22170482505036282,5783.962805747986,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,linear,1000,lda
11,0.124,0.17620194572452638,5845.709586620331,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,circular,1000,lda
12,0.156,0.2150359354268023,5692.610146284103,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,pairwise,1000,lda
13,0.176,0.23651104117492786,5793.403782367706,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,sca,1000,lda
14,0.192,0.2589620036405312,7332.123718261719,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,full,1000,lda
15,0.204,0.27049839619568755,5684.356068611145,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,linear,1000,lda
16,0.152,0.19845813446389995,5877.76574420929,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,circular,1000,lda
17,0.14,0.193676491867461,5729.301155805588,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,pairwise,1000,lda
18,0.152,0.19852295514179144,6042.241938591003,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,sca,1000,lda
19,0.188,0.23788290091473696,7371.384781360626,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,full,1000,lda
20,0.176,0.22238233427664866,5867.384877204895,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,linear,1000,lda
21,0.164,0.22606583184257598,5997.362098455429,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,circular,1000,lda
22,0.164,0.2159824078234439,5736.612863779068,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,pairwise,1000,lda
23,0.144,0.19517144084755245,5910.029978752136,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,sca,1000,lda
24,0.112,0.15556184647665675,4113.295028686523,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,,,1000,lda
25,0.192,0.2666348093954563,6532.828504562378,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,,full,1000,lda
26,0.136,0.1586671850460789,4554.259166717529,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,,linear,920,lda
27,0.12,0.14571370925274338,5037.87900686264,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,,circular,983,lda
