index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
20,0.208,0.2070827616406363,3128.369780302048,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zfeaturemap at 0x7f37231b2040>,full,,565,lda
21,0.14,0.1928817340932448,2310.71266746521,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zfeaturemap at 0x7f37231b2040>,linear,,459,lda
22,0.116,0.1516444187391555,2644.044280767441,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zfeaturemap at 0x7f37231b2040>,circular,,521,lda
23,0.188,0.2204072180451127,2136.2215583324432,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zfeaturemap at 0x7f37231b2040>,sca,,419,lda
24,0.136,0.1872903443312839,5322.945320367813,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,full,full,664,lda
25,0.184,0.2346678797904604,3579.960602283478,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,full,linear,566,lda
26,0.168,0.2080551212040225,3018.9216215610504,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,full,circular,467,lda
27,0.184,0.2336117987275881,3613.092021226883,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,full,pairwise,571,lda
28,0.2,0.2521818627655322,3420.5633823871613,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,full,sca,519,lda
29,0.152,0.1954531923227575,4232.303429603577,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,linear,full,560,lda
30,0.12,0.1516853384385093,3464.208831548691,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,linear,linear,604,lda
31,0.136,0.1909417175417175,2705.010100364685,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,linear,circular,459,lda
