index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.376,0.3925582922824303,6527.12547492981,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,full,,1000,pca
1,0.144,0.18517072076807176,5743.888672351837,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,linear,,1000,pca
2,0.204,0.24426499602810184,5828.501425027847,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,circular,,1000,pca
3,0.144,0.16396589804994868,5891.204417228699,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,sca,,1000,pca
4,0.196,0.23969178129025265,9861.02332687378,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,full,1000,pca
5,0.18,0.23295069278547542,7511.359122991562,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,linear,1000,pca
6,0.224,0.2747065288157482,7793.888352155685,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,circular,1000,pca
7,0.18,0.2244847654787507,7560.520263433456,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,pairwise,1000,pca
8,0.216,0.2754475007685465,7692.220285654068,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,sca,1000,pca
9,0.184,0.2448614552452281,9110.72190785408,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_neldermead at 0x7f39d77110d0>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,full,1000,pca
