index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.208,0.2549911368015414,6533.2622973918915,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,full,,1000,pca
1,0.208,0.24457279130028461,5728.902698993683,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,linear,,1000,pca
2,0.108,0.13612331728163757,5735.123335361481,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,circular,,1000,pca
3,0.148,0.19727410964385758,5724.094995260239,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,sca,,1000,pca
4,0.192,0.26250196078431365,10009.68894648552,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,full,1000,pca
5,0.196,0.2648510995467517,7549.831038236618,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,linear,1000,pca
6,0.164,0.20755139442163467,7605.32933473587,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,circular,1000,pca
7,0.148,0.20880589680589678,7434.676114320755,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,pairwise,1000,pca
8,0.18,0.23026732412012021,7741.080331325531,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,sca,1000,pca
9,0.2,0.2694100104399936,9178.759858846664,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,full,1000,pca
10,0.168,0.23838626498820376,6688.935739517212,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,linear,1000,pca
11,0.144,0.20537138981378714,6747.093528270721,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_neldermead at 0x7f7d8184e0d0>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,circular,1000,pca
