index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
20,0.18,0.2145920518077719,4222.872881174088,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zfeaturemap at 0x7f37231b2040>,full,,631,pca
21,0.132,0.1811898782801174,3652.7747333049774,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zfeaturemap at 0x7f37231b2040>,linear,,628,pca
22,0.124,0.157474800214953,3384.749031543732,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zfeaturemap at 0x7f37231b2040>,circular,,575,pca
23,0.144,0.1890454434814678,4238.221880435944,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zfeaturemap at 0x7f37231b2040>,sca,,728,pca
24,0.156,0.2035409578960563,6318.229509592056,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,full,full,623,pca
25,0.156,0.2063890043414744,4451.310537338257,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,full,linear,580,pca
26,0.256,0.3166030252525715,4965.703138589859,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,full,circular,637,pca
27,0.168,0.2146519729210547,4440.771340608597,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,full,pairwise,583,pca
28,0.232,0.2989606481334928,4869.26301074028,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,full,sca,624,pca
29,0.188,0.2381986421222089,5773.029908418655,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,linear,full,627,pca
30,0.18,0.255700947459087,5036.671502828598,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,linear,linear,730,pca
31,0.16,0.2178499159906409,4404.685567617416,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,linear,circular,626,pca
32,0.172,0.2302370964706168,4319.651781558991,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,linear,pairwise,625,pca
33,0.172,0.215254831058512,4705.742471218109,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,linear,sca,676,pca
34,0.12,0.1506799548992107,5226.506110668182,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,circular,full,564,pca
35,0.156,0.2095737578196348,5085.333739280701,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,circular,linear,739,pca
36,0.204,0.2723184718153053,5123.936984777451,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,circular,circular,734,pca
37,0.14,0.2025501937301866,4629.347981452942,<function get_efficientsu2 at 0x7f36f31a0ee0>,<function get_neldermead at 0x7f36f31a7160>,<function get_zzfeaturemap at 0x7f37231b20d0>,circular,pairwise,676,pca
