index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.564,0.4969424178202642,1475.850594997406,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zfeaturemap at 0x7fc0556403a0>,full,,351,lda
1,0.504,0.3508734693877551,1402.4038050174713,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zfeaturemap at 0x7fc0556403a0>,linear,,351,lda
2,0.496,0.33568000000000003,1425.6942510604858,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zfeaturemap at 0x7fc0556403a0>,circular,,351,lda
3,0.488,0.3356545961002786,1429.3494811058044,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zfeaturemap at 0x7fc0556403a0>,sca,,351,lda
4,0.524,0.5384130020940415,2095.9182851314545,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,full,full,351,lda
5,0.576,0.561284905991917,1694.7754299640656,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,full,linear,351,lda
6,0.576,0.5775713890402022,1740.5995881557465,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,full,circular,351,lda
7,0.568,0.5510890624144853,1708.1434848308563,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,full,pairwise,351,lda
8,0.596,0.6080843183609141,1763.7751688957214,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,full,sca,351,lda
9,0.504,0.5201973582952027,2002.5925817489624,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,linear,full,351,lda
10,0.624,0.6086127662848475,1611.0782589912415,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,linear,linear,351,lda
11,0.544,0.5373329821480831,1649.5392084121704,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,linear,circular,351,lda
12,0.572,0.559487037037037,1611.7063553333282,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,linear,pairwise,351,lda
13,0.58,0.5768702622951842,1646.573266029358,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,linear,sca,351,lda
14,0.48,0.5124425248571557,2014.3650813102722,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,circular,full,351,lda
15,0.56,0.5397337338920073,1618.9554615020752,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,circular,linear,351,lda
16,0.528,0.5302836794449685,1705.801969051361,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,circular,circular,351,lda
17,0.592,0.5817411764705882,1655.2694990634918,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,circular,pairwise,351,lda
18,0.62,0.603706447963801,1675.2923030853271,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,circular,sca,351,lda
19,0.492,0.5184970265345492,2045.4282863140106,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,sca,full,351,lda
20,0.576,0.5684228312719399,1626.5055470466614,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,sca,linear,351,lda
21,0.512,0.523908351224883,1703.6880521774292,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,sca,circular,351,lda
22,0.564,0.5468520438683947,1617.7605683803558,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,sca,pairwise,351,lda
