index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.492,0.32448257372654155,1878.6910979747772,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,full,,351,lda
1,0.492,0.3380782122905028,1710.901494026184,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,linear,,351,lda
2,0.48,0.3327181564953153,1726.622631072998,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,circular,,351,lda
3,0.504,0.36464205457463883,1720.789614200592,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,sca,,351,lda
4,0.508,0.5118823225411288,2756.5785410404205,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,full,351,lda
5,0.608,0.6050443438914027,2160.6756768226624,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,linear,351,lda
6,0.588,0.5887887375497133,2265.953203678131,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,circular,351,lda
7,0.56,0.5542648983200706,2226.867901802063,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,pairwise,351,lda
8,0.536,0.5454967347781218,2233.2452714443207,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,sca,351,lda
9,0.448,0.4625641349413502,2542.6127021312714,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,full,351,lda
10,0.504,0.42137509345076557,2048.555027246475,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,linear,351,lda
11,0.576,0.5820418223421815,2105.6714379787445,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,circular,351,lda
12,0.588,0.5704753216374269,2070.664304971695,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,pairwise,351,lda
13,0.608,0.6127262577085363,2097.9193155765533,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,sca,351,lda
14,0.532,0.5451431382149188,2625.720391511917,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,circular,full,351,lda
15,0.592,0.5772488730168024,2044.5032494068146,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,circular,linear,351,lda
16,0.612,0.6050964747440519,2100.1271362304688,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,circular,circular,351,lda
17,0.564,0.5405712852664576,2099.8068017959595,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,circular,pairwise,351,lda
18,0.548,0.5652238152449608,2107.333185195923,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,circular,sca,351,lda
19,0.52,0.5436475187969925,2592.478763818741,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,sca,full,351,lda
20,0.54,0.5440827281919294,2070.620624065399,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,sca,linear,351,lda
21,0.556,0.5556984136933574,2155.6262559890747,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,sca,circular,351,lda
22,0.528,0.48288199254782793,2038.8919739723206,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,sca,pairwise,351,lda
23,0.576,0.5798785692664716,2092.930940389633,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,sca,sca,351,lda
24,0.508,0.350358894511483,1432.69992852211,<function get_paulitwodesign at 0x7f3a0e94f4c0>,<function get_spsa at 0x7f39d7711040>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,,,351,lda
25,0.476,0.49616223567768986,2276.375009536743,<function get_paulitwodesign at 0x7f3a0e94f4c0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,,full,351,lda
26,0.54,0.5426801064704488,1780.294861316681,<function get_paulitwodesign at 0x7f3a0e94f4c0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,,linear,351,lda
27,0.516,0.5254086335605321,1809.9042093753815,<function get_paulitwodesign at 0x7f3a0e94f4c0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,,circular,351,lda
28,0.528,0.5335271094740244,1735.6619238853455,<function get_paulitwodesign at 0x7f3a0e94f4c0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,,pairwise,351,lda
29,0.476,0.500309064948324,1808.0875406265259,<function get_paulitwodesign at 0x7f3a0e94f4c0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,,sca,351,lda
30,0.568,0.5136553088862779,1588.450068950653,<function get_realamplitudes at 0x7f3a08298550>,<function get_spsa at 0x7f39d7711040>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,full,,351,lda
31,0.5,0.3473094549015341,1405.0677409172058,<function get_realamplitudes at 0x7f3a08298550>,<function get_spsa at 0x7f39d7711040>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,linear,,351,lda
32,0.476,0.3493481840193704,1436.2904970645905,<function get_realamplitudes at 0x7f3a08298550>,<function get_spsa at 0x7f39d7711040>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,circular,,351,lda
33,0.5,0.3471340659340659,1444.062867641449,<function get_realamplitudes at 0x7f3a08298550>,<function get_spsa at 0x7f39d7711040>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,sca,,351,lda
34,0.46,0.48898179694137645,2418.6846005916595,<function get_realamplitudes at 0x7f3a08298550>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,full,351,lda
35,0.504,0.5034425612052731,1889.9701149463654,<function get_realamplitudes at 0x7f3a08298550>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,linear,351,lda
36,0.556,0.5585620874341954,1962.9126856327057,<function get_realamplitudes at 0x7f3a08298550>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,circular,351,lda
37,0.564,0.5619245714285714,1907.0052394866943,<function get_realamplitudes at 0x7f3a08298550>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,pairwise,351,lda
