index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.596,0.5469656286043829,1494.683254480362,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,full,,351,lda
1,0.576,0.5115036746692798,1387.0436375141144,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,linear,,351,lda
2,0.536,0.4332158704453441,1435.2857155799866,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,circular,,351,lda
3,0.596,0.5561788845517157,1410.9844818115234,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,sca,,351,lda
4,0.512,0.5331283115023574,2071.4571185112,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,full,351,lda
5,0.58,0.5899619108795511,1697.6584694385529,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,linear,351,lda
6,0.548,0.5506366920873285,1768.8139443397522,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,circular,351,lda
7,0.588,0.5975821859725786,1712.7298324108124,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,pairwise,351,lda
8,0.52,0.5251909174218512,1726.3726317882538,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,sca,351,lda
9,0.46,0.4866700202810725,1977.496720790863,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,full,351,lda
10,0.556,0.5154601626692451,1587.6774966716766,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,linear,351,lda
11,0.532,0.532783922171019,1632.5237245559692,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,circular,351,lda
12,0.584,0.5705430488086977,1594.3181176185608,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,pairwise,351,lda
13,0.584,0.583946413347948,1628.1651067733765,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,sca,351,lda
14,0.464,0.4873401952085182,2033.3394439220428,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,full,351,lda
15,0.544,0.5404904024767804,1615.8542566299438,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,linear,351,lda
16,0.596,0.5983481191563382,1645.571813583374,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,circular,351,lda
17,0.536,0.5203111418234118,1612.4918735027313,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,pairwise,351,lda
18,0.564,0.5681380918294302,1646.252212047577,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,sca,351,lda
19,0.552,0.5533761533081598,2000.2621848583221,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,full,351,lda
20,0.608,0.5902737460708775,1611.4416835308075,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,linear,351,lda
21,0.536,0.5289231539424281,1641.6686120033264,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,circular,351,lda
22,0.596,0.5801777504996146,1619.176157951355,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,pairwise,351,lda
23,0.504,0.5203651764705882,1671.5339028835297,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,sca,351,lda
24,0.52,0.4018726703444163,1241.4608535766602,<function get_paulitwodesign at 0x7f25ba207670>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,,,351,lda
25,0.476,0.49961259937764796,1844.6621997356415,<function get_paulitwodesign at 0x7f25ba207670>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,,full,351,lda
26,0.624,0.6098906762705083,1440.913779258728,<function get_paulitwodesign at 0x7f25ba207670>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,,linear,351,lda
27,0.488,0.5144047552978633,1474.7629606723785,<function get_paulitwodesign at 0x7f25ba207670>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,,circular,351,lda
28,0.552,0.536385808343499,1415.590170621872,<function get_paulitwodesign at 0x7f25ba207670>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,,pairwise,351,lda
29,0.54,0.5557909138282249,1465.5723609924316,<function get_paulitwodesign at 0x7f25ba207670>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,,sca,351,lda
30,0.58,0.5278974664679583,1291.9439842700958,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,full,,351,lda
31,0.516,0.3854419574759519,1197.8965029716492,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,linear,,351,lda
32,0.544,0.45027080745341613,1206.27863407135,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,circular,,351,lda
33,0.552,0.4706038961038961,1205.039481639862,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,sca,,351,lda
34,0.508,0.5340093435112208,1864.2362823486328,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,full,351,lda
35,0.548,0.5406643274853801,1486.2983767986298,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,linear,351,lda
36,0.524,0.5312851258581235,1533.3500955104828,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,circular,351,lda
37,0.556,0.5209200406198948,1476.4147160053253,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,pairwise,351,lda
38,0.56,0.5641293804621669,1524.2161977291107,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,sca,351,lda
39,0.436,0.4573946073334719,1769.841553926468,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,full,351,lda
40,0.544,0.5344974040567353,1418.241506576538,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,linear,351,lda
41,0.572,0.5813895697522816,1465.8526861667633,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,circular,351,lda
42,0.6,0.5758078245232784,1410.9461674690247,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,pairwise,351,lda
43,0.524,0.525816317016317,1449.6703605651855,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,sca,351,lda
44,0.448,0.48560179115554813,1775.4868383407593,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,full,351,lda
45,0.56,0.5373861751152074,1398.8335461616516,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,linear,351,lda
46,0.544,0.559422382573179,1440.02139878273,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,circular,351,lda
47,0.556,0.5417865003166447,1407.7185544967651,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,pairwise,351,lda
48,0.508,0.5013025311942958,1445.477390050888,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,sca,351,lda
49,0.492,0.4884190531748234,1768.3350775241852,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,full,351,lda
50,0.492,0.48447751937984485,1409.2868502140045,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,linear,351,lda
51,0.544,0.5549160074790583,1443.5082623958588,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,circular,351,lda
52,0.516,0.5130041303762234,1446.257063627243,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,pairwise,351,lda
53,0.504,0.5241823837775832,1466.9637470245361,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,sca,351,lda
54,0.488,0.344314361453298,1300.281815290451,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,full,,351,lda
55,0.612,0.5674093959731543,1191.3734593391418,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,linear,,351,lda
56,0.564,0.5209057327188938,1212.2467095851898,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,circular,,351,lda
57,0.544,0.4720011088011088,1191.6460871696472,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,pairwise,,351,lda
58,0.528,0.42281127804074914,1218.3437974452972,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,sca,,351,lda
59,0.516,0.5341172411910805,1820.4540302753448,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,full,351,lda
60,0.6,0.5918454226381983,1473.5882618427277,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,linear,351,lda
61,0.524,0.5087789727513865,1441.070856809616,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,circular,351,lda
62,0.536,0.5031838383838384,1469.5596807003021,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,pairwise,351,lda
63,0.536,0.5355628659851486,1470.9813780784607,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,sca,351,lda
64,0.532,0.5470011764705883,1710.3645668029785,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,full,351,lda
65,0.552,0.5488698336146611,939.856828212738,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,linear,351,lda
66,0.456,0.4527824513794662,1230.3889982700348,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,circular,351,lda
67,0.516,0.46834034824495596,932.234659910202,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,pairwise,351,lda
68,0.504,0.5258095615345691,1192.5054478645325,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,sca,351,lda
69,0.496,0.509909534368071,1110.1199219226837,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,full,351,lda
70,0.456,0.4384904106596044,1155.4699428081512,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,linear,351,lda
71,0.564,0.5441685192382434,939.1344351768494,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,circular,351,lda
72,0.548,0.5407470220843369,1134.0858879089355,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,pairwise,351,lda
73,0.496,0.5056420682730923,946.2646074295044,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,sca,351,lda
74,0.492,0.5066489863272041,1343.4402232170105,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,pairwise,full,351,lda
75,0.556,0.5512518321454768,778.7132589817047,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,pairwise,linear,351,lda
76,0.528,0.5310733019840571,1120.1301221847534,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,pairwise,circular,351,lda
77,0.532,0.4873021660197822,821.0335900783539,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,pairwise,pairwise,351,lda
78,0.504,0.5210700738703277,1089.1064450740814,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,pairwise,sca,351,lda
79,0.528,0.5248639858081382,1040.4087431430817,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,full,351,lda
80,0.516,0.4542818181818182,1058.335144996643,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,linear,351,lda
81,0.52,0.5411665067074899,846.7873239517212,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,circular,351,lda
82,0.54,0.5203002050580999,1053.9142544269562,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,pairwise,351,lda
83,0.548,0.54618528221005,918.5626075267792,<function get_twolocal at 0x7f25ba2074c0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,sca,351,lda
