index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.508,0.5009087893864014,1911.8767454624176,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,full,,351,lda
1,0.504,0.5040531858556646,1745.3717019557953,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,linear,,351,lda
2,0.472,0.468735470354075,1741.2249586582184,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,circular,,351,lda
3,0.472,0.4732820844729315,1723.3568918704987,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,sca,,351,lda
4,0.144,0.19820482273003584,2780.5520355701447,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,full,351,lda
5,0.204,0.28127686681609065,2201.2588608264923,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,linear,351,lda
6,0.188,0.2454793275678003,2314.052726984024,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,circular,351,lda
7,0.216,0.24732937668776608,2240.658943414688,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,pairwise,351,lda
8,0.188,0.2497866401597494,2245.004853248596,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,sca,351,lda
9,0.232,0.2941851037214635,2563.0986557006836,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,full,351,lda
10,0.248,0.3010155279749109,2012.5778105258942,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,linear,351,lda
11,0.184,0.24385313565347988,2077.7212381362915,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,circular,351,lda
12,0.224,0.2686482874080543,2002.297073841095,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,pairwise,351,lda
13,0.208,0.2786460740946665,2063.0566580295563,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,sca,351,lda
14,0.176,0.22509841269841266,2554.3936738967896,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,full,351,lda
15,0.168,0.2275170086639307,2018.315663099289,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,linear,351,lda
16,0.152,0.2103033372289313,2084.840272665024,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,circular,351,lda
17,0.212,0.26435782211448816,2031.3317229747772,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,pairwise,351,lda
18,0.192,0.2619351912808134,2077.741628885269,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,sca,351,lda
19,0.204,0.2659546574759341,2574.9594786167145,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,full,351,lda
20,0.212,0.27638026433546475,2029.8060564994812,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,linear,351,lda
21,0.212,0.2634267648367983,2130.041062116623,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,circular,351,lda
22,0.184,0.2422687512063308,2023.8665795326233,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,pairwise,351,lda
23,0.212,0.2655459747816908,2073.9063227176666,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,sca,351,lda
24,0.448,0.4754877192982456,1444.870615720749,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,,,351,lda
25,0.18,0.23996714515526232,2291.220426082611,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,,full,351,lda
26,0.176,0.22253074766257291,1786.7079553604126,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,,linear,351,lda
27,0.18,0.2312686432201134,1813.9688861370087,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,,circular,351,lda
28,0.18,0.23613503223474555,1730.2337086200714,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,,pairwise,351,lda
29,0.192,0.2482154651078512,1806.3366339206696,<function get_paulitwodesign at 0x7f7db8a8c4c0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,,sca,351,lda
30,0.58,0.5682392183245397,1629.7011103630066,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,full,,351,lda
31,0.616,0.6095619185520361,1422.007794380188,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,linear,,351,lda
32,0.528,0.5247431404958677,1465.8627166748047,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,circular,,351,lda
33,0.492,0.48649341623488773,1456.783644914627,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,sca,,351,lda
34,0.184,0.22385720092368447,2441.9085369110107,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,full,351,lda
35,0.212,0.27559282142417285,1879.046302318573,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,linear,351,lda
36,0.204,0.2666994461306173,1949.2379145622253,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,circular,351,lda
37,0.26,0.3112306527397492,1895.8281395435333,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,pairwise,351,lda
38,0.188,0.24035872082642282,1944.525691986084,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,sca,351,lda
39,0.24,0.28976448338200533,2243.9408054351807,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,full,351,lda
40,0.244,0.29355309415999076,1700.6480538845062,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,linear,351,lda
41,0.196,0.2565820408414042,1758.0243899822235,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,circular,351,lda
42,0.176,0.21325279007431305,1743.2032113075256,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,pairwise,351,lda
43,0.228,0.28469431223393116,1758.4311628341675,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,sca,351,lda
44,0.24,0.2833193255383755,2248.776332139969,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,full,351,lda
45,0.236,0.29120357101508937,1704.8014545440674,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,linear,351,lda
46,0.216,0.2692557527942143,1771.174625635147,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,circular,351,lda
47,0.2,0.2502834567551288,1698.752026796341,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,pairwise,351,lda
48,0.18,0.2231143230401987,1769.5628588199615,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,circular,sca,351,lda
49,0.208,0.26481564171419697,2238.9842808246613,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,full,351,lda
50,0.236,0.29486189044352235,1707.8704545497894,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,linear,351,lda
51,0.228,0.28248563162970114,1765.3316266536713,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,circular,351,lda
52,0.228,0.27778685423235516,1722.5630676746368,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,pairwise,351,lda
53,0.212,0.2708258602558503,1864.8485643863678,<function get_realamplitudes at 0x7f7db23d5550>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,sca,sca,351,lda
54,0.52,0.51418201747102,1617.689523935318,<function get_twolocal at 0x7f7db8a8c310>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,full,,351,lda
55,0.584,0.5810574692656931,1396.7224736213684,<function get_twolocal at 0x7f7db8a8c310>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,linear,,351,lda
56,0.544,0.5300757894736843,1427.189185142517,<function get_twolocal at 0x7f7db8a8c310>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,circular,,351,lda
57,0.552,0.5561934369602765,1412.8338778018951,<function get_twolocal at 0x7f7db8a8c310>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,pairwise,,351,lda
58,0.572,0.5548690628646235,1423.4803318977356,<function get_twolocal at 0x7f7db8a8c310>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,sca,,351,lda
59,0.244,0.3037453407047321,2332.9726519584656,<function get_twolocal at 0x7f7db8a8c310>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,full,351,lda
