index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
20,0.532,0.5323429759223974,3579.9470460414886,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zfeaturemap at 0x7f6014553040>,full,,651,lda
21,0.588,0.5636599813432835,3185.0691001415253,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zfeaturemap at 0x7f6014553040>,linear,,651,lda
22,0.572,0.5690532695374801,3208.302050113678,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zfeaturemap at 0x7f6014553040>,circular,,651,lda
23,0.576,0.5763178445919562,3171.6813819408417,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zfeaturemap at 0x7f6014553040>,sca,,651,lda
24,0.196,0.2525502645502646,5109.820148468018,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,full,full,651,lda
25,0.204,0.2575693507272454,4046.107737779617,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,full,linear,651,lda
26,0.184,0.2390688807930187,4139.52516746521,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,full,circular,651,lda
27,0.204,0.2662954635108481,4148.385882616043,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,full,pairwise,651,lda
28,0.192,0.2621969651430729,4238.010347127914,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,full,sca,651,lda
29,0.188,0.2370684756761483,4825.49621462822,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,linear,full,651,lda
30,0.176,0.2257714643997276,3743.8242750167847,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,linear,linear,651,lda
31,0.156,0.2142732813319975,3879.9555497169495,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,linear,circular,651,lda
32,0.228,0.2711644782327646,3784.7341134548183,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,linear,pairwise,651,lda
33,0.228,0.2842332390142446,3877.7421057224274,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,linear,sca,651,lda
34,0.196,0.2485657739486631,4858.118673563004,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,circular,full,651,lda
35,0.244,0.3032469675071448,3769.598786830902,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,circular,linear,651,lda
36,0.232,0.295064839253347,3851.214322566986,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,circular,circular,651,lda
37,0.192,0.2496401098901099,3744.552269220352,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,circular,pairwise,651,lda
38,0.244,0.3076182379881884,3840.510678768158,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,circular,sca,651,lda
39,0.188,0.2516145459866832,4755.607179164887,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,sca,full,651,lda
40,0.228,0.2589802954772048,3729.585647583008,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,sca,linear,651,lda
41,0.152,0.2048189290161892,3832.9484293460846,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,sca,circular,651,lda
42,0.24,0.2777182840273852,3754.7840988636017,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,sca,pairwise,651,lda
43,0.188,0.244655759055759,3832.6207020282745,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,sca,sca,651,lda
49,0.4,0.4538663060814091,2634.3965702056885,<function get_paulitwodesign at 0x7f5fe4b65940>,<function get_spsa at 0x7f5fe4547040>,<function get_zfeaturemap at 0x7f6014553040>,,,651,lda
50,0.228,0.2816753023892146,4207.900772094727,<function get_paulitwodesign at 0x7f5fe4b65940>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,,full,651,lda
51,0.216,0.279305140026756,3196.046110868454,<function get_paulitwodesign at 0x7f5fe4b65940>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,,linear,651,lda
52,0.18,0.2403353704266748,3298.678524017334,<function get_paulitwodesign at 0x7f5fe4b65940>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,,circular,651,lda
53,0.196,0.2430817258937208,3204.8458127975464,<function get_paulitwodesign at 0x7f5fe4b65940>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,,pairwise,651,lda
54,0.2,0.2557271021916693,3292.897991895676,<function get_paulitwodesign at 0x7f5fe4b65940>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,,sca,651,lda
75,0.524,0.5116339806982009,2952.0996911525726,<function get_realamplitudes at 0x7f5fe4542e50>,<function get_spsa at 0x7f5fe4547040>,<function get_zfeaturemap at 0x7f6014553040>,full,,651,lda
76,0.548,0.5399222262729372,2598.406458377838,<function get_realamplitudes at 0x7f5fe4542e50>,<function get_spsa at 0x7f5fe4547040>,<function get_zfeaturemap at 0x7f6014553040>,linear,,651,lda
77,0.568,0.5544985647867394,2640.467046022415,<function get_realamplitudes at 0x7f5fe4542e50>,<function get_spsa at 0x7f5fe4547040>,<function get_zfeaturemap at 0x7f6014553040>,circular,,651,lda
78,0.48,0.4878004900149567,2661.091997861862,<function get_realamplitudes at 0x7f5fe4542e50>,<function get_spsa at 0x7f5fe4547040>,<function get_zfeaturemap at 0x7f6014553040>,sca,,651,lda
79,0.212,0.265985430109399,4561.220336198807,<function get_realamplitudes at 0x7f5fe4542e50>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,full,full,651,lda
80,0.236,0.3048363723888065,3491.5034770965576,<function get_realamplitudes at 0x7f5fe4542e50>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,full,linear,651,lda
81,0.164,0.2185562871823347,3676.3313965797424,<function get_realamplitudes at 0x7f5fe4542e50>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,full,circular,651,lda
82,0.208,0.2651413894612893,3568.501059532165,<function get_realamplitudes at 0x7f5fe4542e50>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,full,pairwise,651,lda
83,0.176,0.2280912006083843,3653.0223002433777,<function get_realamplitudes at 0x7f5fe4542e50>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,full,sca,651,lda
84,0.184,0.2256669344042838,4222.387320518494,<function get_realamplitudes at 0x7f5fe4542e50>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,linear,full,651,lda
85,0.236,0.2941592780741717,3151.2371397018437,<function get_realamplitudes at 0x7f5fe4542e50>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,linear,linear,651,lda
86,0.16,0.2102299810246679,3258.46924495697,<function get_realamplitudes at 0x7f5fe4542e50>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,linear,circular,651,lda
87,0.256,0.303035024578839,3174.917286157608,<function get_realamplitudes at 0x7f5fe4542e50>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,linear,pairwise,651,lda
