index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.544,0.5444626625710738,1494.5863292217255,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,full,,351,lda
1,0.508,0.49610293348108475,1403.5222136974335,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,linear,,351,lda
2,0.496,0.48496271643956573,1434.9281649589539,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,circular,,351,lda
3,0.492,0.48950758068883404,1441.0462663173676,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,sca,,351,lda
4,0.184,0.23843037769018052,2141.537734270096,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,full,351,lda
5,0.184,0.23836337473813404,1728.187088727951,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,linear,351,lda
6,0.248,0.3096395511921459,1807.5319752693176,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,circular,351,lda
7,0.204,0.26031346047334736,1769.9564323425293,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,pairwise,351,lda
8,0.152,0.20784538947492878,1745.44873046875,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,sca,351,lda
9,0.168,0.21607414974660016,2016.062445640564,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,full,351,lda
10,0.168,0.22546294669940778,1626.1239094734192,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,linear,351,lda
11,0.22,0.27681404213428745,1669.6608119010925,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,circular,351,lda
12,0.244,0.30196931134484695,1629.6208281517029,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,pairwise,351,lda
13,0.168,0.21475202617449501,1673.1891481876373,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,sca,351,lda
14,0.208,0.2675792797160493,2054.2204718589783,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,full,351,lda
15,0.204,0.2699772835885739,1634.2808289527893,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,linear,351,lda
16,0.176,0.23134539519058211,1696.8660335540771,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,circular,351,lda
17,0.22,0.26705655816172275,1639.4117646217346,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,pairwise,351,lda
18,0.164,0.21394592244990715,1671.2524945735931,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,circular,sca,351,lda
19,0.196,0.23647608430828865,2035.0659685134888,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,full,351,lda
20,0.248,0.3083991822131358,1641.0008535385132,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,linear,351,lda
21,0.172,0.23011578947368422,1678.3456163406372,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,circular,351,lda
22,0.172,0.21649159663865547,1643.9130935668945,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,pairwise,351,lda
23,0.152,0.19988728097299524,1695.0602786540985,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,sca,sca,351,lda
24,0.42,0.45946543565367104,1236.2661423683167,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_spsa at 0x7fb2745789d0>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,,,351,lda
25,0.196,0.2360407026302163,1846.087779045105,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,,full,351,lda
26,0.228,0.2754584615384615,1445.0994291305542,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,,linear,351,lda
27,0.172,0.2299653401594087,1491.5064764022827,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,,circular,351,lda
28,0.2,0.25376824841824847,1475.1055319309235,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,,pairwise,351,lda
29,0.16,0.21260584836589774,1515.1442656517029,<function get_paulitwodesign at 0x7fb2ac9d3670>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,,sca,351,lda
