index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.48,0.3580664335664336,1734.8659660816193,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zfeaturemap at 0x7fc0556403a0>,full,,351,pca
1,0.488,0.3227096774193548,1622.3986113071442,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zfeaturemap at 0x7fc0556403a0>,linear,,351,pca
2,0.488,0.4575818779685788,1668.6170737743378,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zfeaturemap at 0x7fc0556403a0>,circular,,351,pca
3,0.46,0.36299120234604104,1650.2602050304413,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zfeaturemap at 0x7fc0556403a0>,sca,,351,pca
4,0.292,0.34051239363669994,2621.807472229004,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,full,full,351,pca
5,0.444,0.45723688206858276,2013.3571207523346,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,full,linear,351,pca
6,0.344,0.37252064512441413,2119.475094795227,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,full,circular,351,pca
7,0.312,0.34171764705882357,2051.5540392398834,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,full,pairwise,351,pca
8,0.332,0.37759499794323326,2087.211668729782,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,full,sca,351,pca
9,0.284,0.358388020722447,2491.3567469120026,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,linear,full,351,pca
10,0.408,0.41827037843204645,1922.7401175498962,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,linear,linear,351,pca
11,0.332,0.3506666666666666,1964.5360116958618,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,linear,circular,351,pca
12,0.472,0.4778891683448734,1898.5729739665985,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,linear,pairwise,351,pca
13,0.288,0.32334119213469975,1942.1406280994415,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,linear,sca,351,pca
14,0.32,0.37883603667133076,2501.8815376758575,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,circular,full,351,pca
15,0.376,0.41941125541125535,1920.2267677783966,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,circular,linear,351,pca
16,0.352,0.3807104431599229,1969.835860967636,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,circular,circular,351,pca
17,0.408,0.4114275972061816,1940.3767988681793,<function get_efficientsu2 at 0x7fc04e4ccee0>,<function get_spsa at 0x7fc01d1e69d0>,<function get_zzfeaturemap at 0x7fc055640430>,circular,pairwise,351,pca
