index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.5,0.39722248144220573,2310.27094912529,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,full,,351,pca
1,0.468,0.3503650197628458,2029.7822206020355,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,linear,,351,pca
2,0.52,0.4666152715394038,2041.5084383487701,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,circular,,351,pca
3,0.508,0.3862681185110154,2019.4944562911987,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zfeaturemap at 0x7f3a0e94f1f0>,sca,,351,pca
4,0.236,0.278287265826576,3518.1114161014557,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,full,351,pca
5,0.428,0.43989009486909547,2690.889412879944,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,linear,351,pca
6,0.396,0.41903774663946763,2706.210223674774,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,circular,351,pca
7,0.324,0.36123587737075263,2647.963431596756,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,pairwise,351,pca
8,0.304,0.34355153204847666,2718.316099882126,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,full,sca,351,pca
9,0.348,0.38822978354978355,3201.729725122452,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,full,351,pca
10,0.404,0.4193317025594013,2353.8437135219574,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,linear,351,pca
11,0.312,0.3454128882487503,2427.6063385009766,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,circular,351,pca
12,0.364,0.4020947733319002,2406.1935625076294,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,pairwise,351,pca
13,0.36,0.3579993927305915,2463.2180156707764,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,linear,sca,351,pca
14,0.276,0.32739030381383327,3200.2367322444916,<function get_efficientsu2 at 0x7f3a07d6d9d0>,<function get_spsa at 0x7f39d7711040>,<function get_zzfeaturemap at 0x7f3a0e94f280>,circular,full,351,pca
