index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.468,0.38468114759521027,1768.2473905086517,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,full,,351,pca
1,0.488,0.40605242847638057,1641.9059252738953,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,linear,,351,pca
2,0.524,0.4471599811231714,1661.4954762458801,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,circular,,351,pca
3,0.492,0.3322907887479316,1620.1371357440948,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,sca,,351,pca
4,0.288,0.3289480284421461,2609.7352826595306,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,full,351,pca
5,0.384,0.40871428571428564,1989.499623298645,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,linear,351,pca
6,0.408,0.4261491455912508,2119.4666755199432,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,circular,351,pca
7,0.4,0.41141086858347137,2044.9673228263855,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,pairwise,351,pca
8,0.364,0.3809563909774436,2071.1173293590546,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,full,sca,351,pca
9,0.256,0.30448545544026906,2471.84184551239,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,full,351,pca
10,0.344,0.3768694757335559,1923.831035375595,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,linear,351,pca
11,0.4,0.4155044444036496,1969.650174856186,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,circular,351,pca
12,0.416,0.446763165636952,1880.8625195026398,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,pairwise,351,pca
13,0.428,0.4372845064687859,1925.0644335746765,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,linear,sca,351,pca
14,0.208,0.25156198004893654,2501.9605808258057,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,full,351,pca
15,0.396,0.40891701442956496,1913.8336548805237,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,linear,351,pca
16,0.372,0.3662696282440963,1961.4170637130737,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,circular,351,pca
17,0.424,0.43647703432985485,1913.3522419929504,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,pairwise,351,pca
18,0.368,0.3916911759076271,1953.5630354881287,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,circular,sca,351,pca
19,0.228,0.2990417856928396,2512.0746569633484,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,full,351,pca
20,0.388,0.4060663757295337,1922.1695897579193,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,linear,351,pca
21,0.392,0.4195683977261779,1969.111679315567,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,circular,351,pca
22,0.436,0.4330088129875606,1905.0442144870758,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,pairwise,351,pca
23,0.36,0.3778703373086719,1935.999353170395,<function get_efficientsu2 at 0x7f25b3093ee0>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,sca,sca,351,pca
24,0.484,0.3583646148326585,1459.8206782341003,<function get_paulitwodesign at 0x7f25ba207670>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,,,351,pca
25,0.26,0.3120025815103512,2311.668532371521,<function get_paulitwodesign at 0x7f25ba207670>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,,full,351,pca
26,0.364,0.3996292625817933,1672.3315393924713,<function get_paulitwodesign at 0x7f25ba207670>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,,linear,351,pca
27,0.412,0.4277569944170458,1718.2039868831635,<function get_paulitwodesign at 0x7f25ba207670>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,,circular,351,pca
28,0.332,0.36434916857360794,1679.7178242206573,<function get_paulitwodesign at 0x7f25ba207670>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,,pairwise,351,pca
29,0.364,0.40430135198135203,1714.7288331985474,<function get_paulitwodesign at 0x7f25ba207670>,<function get_spsa at 0x7f2581dab940>,<function get_zzfeaturemap at 0x7f25ba207430>,,sca,351,pca
30,0.396,0.34623490508266996,1558.9609110355377,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,full,,351,pca
31,0.44,0.4131054626532888,1414.715120792389,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,linear,,351,pca
32,0.512,0.3944444773906598,1424.1292827129364,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,circular,,351,pca
33,0.42,0.37023620025673937,1428.0664258003235,<function get_realamplitudes at 0x7f25b3607160>,<function get_spsa at 0x7f2581dab940>,<function get_zfeaturemap at 0x7f25ba2073a0>,sca,,351,pca
