index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.46,0.455660606060606,2290.130477666855,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,full,,351,pca
1,0.372,0.3931359970953309,2016.3267934322357,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,linear,,351,pca
2,0.408,0.3747750799924714,2035.3716785907745,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,circular,,351,pca
3,0.392,0.38603155168354136,2022.3848314285278,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zfeaturemap at 0x7f7db8a8c1f0>,sca,,351,pca
4,0.18,0.23713936719651008,3460.2359330654144,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,full,351,pca
5,0.24,0.30772808568937604,2664.7346637248993,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,linear,351,pca
6,0.14,0.19013400084940993,2787.2015631198883,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,circular,351,pca
7,0.212,0.26447091195264344,2639.0617485046387,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,pairwise,351,pca
8,0.168,0.23657142857142857,2696.3797039985657,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,full,sca,351,pca
9,0.192,0.2554191596638655,3160.92134809494,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,full,351,pca
10,0.176,0.21800288850048385,2390.7261579036713,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,linear,351,pca
11,0.172,0.23083281286853152,2433.0663282871246,<function get_efficientsu2 at 0x7f7db1eaa9d0>,<function get_spsa at 0x7f7d8184e040>,<function get_zzfeaturemap at 0x7f7db8a8c280>,linear,circular,351,pca
