index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
20,0.436,0.3948051863692878,4292.424834728241,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zfeaturemap at 0x7f6014553040>,full,,651,pca
21,0.436,0.42555170443725,3783.841735839844,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zfeaturemap at 0x7f6014553040>,linear,,651,pca
22,0.376,0.3872805129419607,3826.30593419075,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zfeaturemap at 0x7f6014553040>,circular,,651,pca
23,0.404,0.4015960251047286,3805.354593992233,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zfeaturemap at 0x7f6014553040>,sca,,651,pca
24,0.176,0.2357067806778831,6456.071214437485,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,full,full,651,pca
25,0.276,0.3349314375390034,4990.748616218567,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,full,linear,651,pca
26,0.196,0.2498856567056512,5071.777941465378,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,full,circular,651,pca
27,0.236,0.2871009206288059,4951.781470537186,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,full,pairwise,651,pca
28,0.24,0.2948762246438957,5079.167556524277,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,full,sca,651,pca
29,0.188,0.2575156392272671,5990.4527904987335,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,linear,full,651,pca
30,0.232,0.292452673651895,4456.90482544899,<function get_efficientsu2 at 0x7f5fe4542ee0>,<function get_spsa at 0x7f5fe4547040>,<function get_zzfeaturemap at 0x7f60145530d0>,linear,linear,651,pca
