index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.416,0.3939472209936606,1797.5355689525604,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,full,,351,pca
1,0.424,0.37185403329065303,1668.3775963783264,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,linear,,351,pca
2,0.372,0.39579650391802296,1668.8247756958008,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,circular,,351,pca
3,0.376,0.3434460945331174,1656.3803532123566,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zfeaturemap at 0x7fb2ac9d33a0>,sca,,351,pca
4,0.208,0.2678539196932255,2664.0547103881836,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,full,351,pca
5,0.204,0.25139327117605265,2047.11976480484,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,linear,351,pca
6,0.192,0.24953987624326596,2091.4964570999146,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,circular,351,pca
7,0.228,0.28432531029506963,2043.0880117416382,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,pairwise,351,pca
8,0.184,0.234692220303781,2088.3560059070587,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,full,sca,351,pca
9,0.164,0.21207805864509607,2495.471074819565,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,full,351,pca
10,0.22,0.27389420508824425,1946.3800501823425,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,linear,351,pca
11,0.224,0.2885148961748554,1978.8156907558441,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,circular,351,pca
12,0.204,0.2585344099493099,1926.21102309227,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,pairwise,351,pca
13,0.208,0.26386511535183393,2006.2420301437378,<function get_efficientsu2 at 0x7fb2a585eee0>,<function get_spsa at 0x7fb2745789d0>,<function get_zzfeaturemap at 0x7fb2ac9d3430>,linear,sca,351,pca
