index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.5,0.34604852459016394,3712.748859167099,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zfeaturemap at 0x7fd03fed61f0>,full,,250,lda
1,0.5,0.39645971233068006,3339.132961988449,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zfeaturemap at 0x7fd03fed61f0>,linear,,250,lda
2,0.492,0.3297874659400545,3354.1615073680878,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zfeaturemap at 0x7fd03fed61f0>,circular,,250,lda
3,0.488,0.33531428571428573,3375.645425081253,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zfeaturemap at 0x7fd03fed61f0>,sca,,250,lda
4,0.416,0.4489736329736331,4864.973161697388,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,full,234,lda
5,0.536,0.48828452178497794,4325.977619886398,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,linear,250,lda
6,0.536,0.5407456580590676,4015.2165541648865,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,circular,225,lda
7,0.556,0.5502914869591562,4369.315252780914,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,pairwise,250,lda
8,0.436,0.42250764763592297,3893.955538034439,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,sca,219,lda
9,0.44,0.4536673218673219,4137.6763117313385,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,full,215,lda
10,0.544,0.5256316768535741,3828.312835216522,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,linear,237,lda
11,0.44,0.46688125520287643,3526.799334049225,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,circular,217,lda
12,0.584,0.5773824054398641,4058.738035440445,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,pairwise,250,lda
13,0.52,0.5140091488563929,4134.022360801697,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,sca,250,lda
14,0.432,0.43138388184824966,4892.865408420563,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,full,250,lda
15,0.552,0.557305073027396,4074.807157278061,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,linear,250,lda
16,0.516,0.5261230769230768,4087.440545797348,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,circular,250,lda
17,0.572,0.5753653124750578,4016.17950296402,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,pairwise,250,lda
18,0.572,0.5779360388549012,4138.4468314647675,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,sca,250,lda
19,0.436,0.4551643306379155,4882.506289243698,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,full,250,lda
20,0.572,0.5491418242491657,4089.7177979946136,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,linear,250,lda
21,0.544,0.5408593815822732,4113.0278153419495,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,circular,250,lda
22,0.568,0.5640468862356386,3035.234047651291,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,pairwise,188,lda
23,0.58,0.5584026294132629,4095.3240139484406,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,sca,250,lda
24,0.496,0.3361640316205533,2452.010002374649,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zfeaturemap at 0x7fd03fed61f0>,,,173,lda
25,0.472,0.48474938761124325,2271.1766760349274,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,,full,113,lda
26,0.596,0.5924460364244498,3190.7050364017487,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,,linear,189,lda
27,0.52,0.5380895174902509,2102.674562692642,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,,circular,123,lda
28,0.588,0.5759452963116453,2375.4955582618713,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,,pairwise,141,lda
29,0.468,0.5116980433872148,2255.711893081665,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,,sca,132,lda
30,0.512,0.3531885245901639,2278.6761615276337,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zfeaturemap at 0x7fd03fed61f0>,full,,169,lda
31,0.616,0.5930822835092497,2031.0196526050568,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zfeaturemap at 0x7fd03fed61f0>,linear,,169,lda
32,0.616,0.5838697478991597,2099.1561076641083,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zfeaturemap at 0x7fd03fed61f0>,circular,,174,lda
33,0.54,0.47353543539740833,1799.2450330257416,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zfeaturemap at 0x7fd03fed61f0>,sca,,148,lda
34,0.496,0.4950094591317003,2548.6342215538025,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,full,131,lda
35,0.56,0.5335131717597471,1306.9905183315277,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,linear,81,lda
36,0.44,0.4513986534880389,1643.7233972549438,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,circular,100,lda
37,0.572,0.5540355585374036,2566.6039118766785,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,pairwise,159,lda
38,0.436,0.4586709659050467,2075.68088388443,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,sca,126,lda
39,0.484,0.5098758987229645,2558.065884590149,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,full,142,lda
40,0.48,0.4577653821588248,2149.709463119507,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,linear,147,lda
41,0.54,0.5455220233020744,2268.1644144058228,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,circular,153,lda
42,0.564,0.567205642973413,2259.146681547165,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,pairwise,155,lda
43,0.508,0.5134312500000001,2319.7213501930237,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,sca,155,lda
44,0.32,0.3720116652400012,1410.5012772083282,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,full,78,lda
45,0.48,0.47730909090909085,1957.0953223705292,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,linear,132,lda
46,0.588,0.5925051710031092,2493.108361005783,<function get_realamplitudes at 0x7fd03981e550>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,circular,168,lda
