index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.448,0.47742601406892465,3733.9612579345703,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,full,,250,lda
1,0.5,0.49036520181843235,3349.3796384334564,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,linear,,250,lda
2,0.512,0.4957213026874452,3328.4041619300842,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,circular,,250,lda
3,0.516,0.5117527957441923,3319.662005186081,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,sca,,250,lda
4,0.224,0.2737473193473194,3843.5927720069885,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,full,184,lda
5,0.172,0.22919910700035426,3355.9319422245026,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,linear,193,lda
6,0.168,0.20690301372727773,2529.9134216308594,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,circular,142,lda
7,0.184,0.22323590889605993,3543.4221291542053,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,pairwise,203,lda
8,0.184,0.22897632797753664,2690.8712458610535,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,sca,151,lda
9,0.192,0.23570919804763163,3542.4238278865814,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,full,180,lda
10,0.228,0.28301583022960364,2842.5721113681793,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,linear,177,lda
11,0.212,0.27276107249255216,2735.0808749198914,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,circular,167,lda
12,0.224,0.28422729460404517,3050.244794845581,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,pairwise,190,lda
13,0.204,0.2503330349287292,3551.1357576847076,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,sca,217,lda
14,0.204,0.24510750087888444,4886.111598730087,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,full,250,lda
15,0.204,0.24641702774491292,3405.1766269207,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,linear,210,lda
16,0.212,0.26463973595612994,3702.6803085803986,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,circular,225,lda
17,0.24,0.3024954860591551,2831.691792011261,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,pairwise,175,lda
18,0.276,0.3326340477866447,3240.663010120392,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,sca,197,lda
19,0.184,0.22493592371060728,3835.9179360866547,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,full,196,lda
20,0.252,0.2961608488950808,3272.3499054908752,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,linear,199,lda
21,0.192,0.25302823480114867,3864.685725927353,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,circular,236,lda
22,0.212,0.27726390113281874,3624.641921520233,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,pairwise,221,lda
23,0.168,0.20768197662231166,3512.822605371475,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,sca,213,lda
24,0.5,0.5119099305897141,2659.6389973163605,<function get_paulitwodesign at 0x7f122bf1f4c0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,,,187,lda
25,0.18,0.21189560425885912,1393.8316714763641,<function get_paulitwodesign at 0x7f122bf1f4c0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,,full,69,lda
26,0.22,0.27126156514238786,1545.0352704524994,<function get_paulitwodesign at 0x7f122bf1f4c0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,,linear,92,lda
27,0.22,0.2687365337385658,1913.1952803134918,<function get_paulitwodesign at 0x7f122bf1f4c0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,,circular,112,lda
28,0.212,0.2571057387057387,1611.4139556884766,<function get_paulitwodesign at 0x7f122bf1f4c0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,,pairwise,95,lda
29,0.24,0.30484556489262377,1556.3823881149292,<function get_paulitwodesign at 0x7f122bf1f4c0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,,sca,91,lda
30,0.464,0.4837522363784223,2152.3280963897705,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,full,,160,lda
31,0.528,0.5442954497354496,1978.7786438465118,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,linear,,165,lda
32,0.496,0.5043192821886141,1727.719955444336,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,circular,,141,lda
33,0.508,0.5258626308855142,1600.9830389022827,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,sca,,130,lda
34,0.248,0.2964979090213301,1811.1241374015808,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,full,93,lda
35,0.204,0.2583411023428714,1450.957961320877,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,linear,90,lda
36,0.2,0.237300568319173,1418.058205127716,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,circular,87,lda
37,0.204,0.24951555823070937,1368.910136938095,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,pairwise,85,lda
38,0.192,0.24443306642719947,1646.6951506137848,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,sca,101,lda
39,0.256,0.3243291509308688,2059.500820875168,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,full,114,lda
40,0.204,0.23411359876833052,1856.0765464305878,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,linear,127,lda
41,0.208,0.25544103445945443,1806.2039270401,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,circular,122,lda
42,0.244,0.2977253492131705,1548.2339236736298,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,pairwise,107,lda
43,0.188,0.22430961311756514,1702.927440404892,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,sca,115,lda
44,0.192,0.23966381766381764,1645.251470565796,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,full,92,lda
45,0.196,0.25527100591715973,1228.5399532318115,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,linear,84,lda
46,0.164,0.2019756966642994,1634.0647172927856,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,circular,109,lda
47,0.236,0.2918191570881226,1877.1498200893402,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,pairwise,127,lda
48,0.164,0.21624276908487433,1371.0193872451782,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,sca,91,lda
49,0.18,0.2169056381742494,1464.2189610004425,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,full,81,lda
50,0.248,0.30725708952882863,1549.000726699829,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,linear,105,lda
51,0.196,0.24663073368743796,1488.9624726772308,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,circular,100,lda
52,0.188,0.24118653511694818,1385.322556257248,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,pairwise,95,lda
53,0.212,0.2569880004159302,1408.4343807697296,<function get_realamplitudes at 0x7f1225867550>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,sca,95,lda
54,0.556,0.5404181701030929,2951.9923951625824,<function get_twolocal at 0x7f122bf1f310>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,full,,220,lda
55,0.544,0.5466179767164481,1521.9779741764069,<function get_twolocal at 0x7f122bf1f310>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,linear,,182,lda
56,0.496,0.5076702127659575,1570.3091802597046,<function get_twolocal at 0x7f122bf1f310>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,circular,,130,lda
57,0.52,0.49921568627450985,2030.7220680713654,<function get_twolocal at 0x7f122bf1f310>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,pairwise,,177,lda
58,0.572,0.5629472323232324,1947.8890368938446,<function get_twolocal at 0x7f122bf1f310>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,sca,,161,lda
59,0.252,0.28552462619687746,1409.3841454982758,<function get_twolocal at 0x7f122bf1f310>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,full,77,lda
60,0.248,0.29918000485072427,2023.2151896953583,<function get_twolocal at 0x7f122bf1f310>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,linear,125,lda
61,0.22,0.26659106681432265,1601.0295441150665,<function get_twolocal at 0x7f122bf1f310>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,circular,110,lda
62,0.204,0.247968552613087,1404.5015695095062,<function get_twolocal at 0x7f122bf1f310>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,pairwise,87,lda
63,0.168,0.22039256492893308,1392.9225096702576,<function get_twolocal at 0x7f122bf1f310>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,sca,85,lda
64,0.236,0.28319654969053015,1732.7670061588287,<function get_twolocal at 0x7f122bf1f310>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,full,95,lda
65,0.2,0.2681935729267418,1189.5209233760834,<function get_twolocal at 0x7f122bf1f310>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,linear,81,lda
66,0.14,0.1783089430894309,1451.1054682731628,<function get_twolocal at 0x7f122bf1f310>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,circular,98,lda
67,0.192,0.2499091575091575,1543.8692605495453,<function get_twolocal at 0x7f122bf1f310>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,pairwise,108,lda
68,0.216,0.2764654318723639,1555.8905153274536,<function get_twolocal at 0x7f122bf1f310>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,sca,105,lda
