index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.492,0.49713944353518824,3696.429623603821,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,full,,250,lda
1,0.54,0.5261458934353841,3328.9103395938873,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,linear,,250,lda
2,0.548,0.5270826995282564,3362.6530809402466,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,circular,,250,lda
3,0.52,0.4990328811720022,3322.504390478134,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,sca,,250,lda
4,0.2,0.23454667931688802,3318.6658585071564,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,full,157,lda
5,0.212,0.2686083764678573,4370.778485059738,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,linear,250,lda
6,0.16,0.19787386737027837,2889.6043589115143,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,circular,161,lda
7,0.192,0.2448525121087255,3843.7783279418945,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,pairwise,220,lda
8,0.2,0.26703071426531166,3650.131090402603,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,sca,206,lda
9,0.184,0.2362112185686654,3654.7994408607483,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,full,190,lda
10,0.22,0.2592218047882136,3040.636978626251,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,linear,190,lda
11,0.172,0.22189091180782894,3797.2160909175873,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,circular,234,lda
12,0.236,0.3096578440603071,3234.486162185669,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,pairwise,202,lda
13,0.224,0.2878073460122241,3242.4444494247437,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,sca,199,lda
14,0.22,0.26825691225684073,4062.9320991039276,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,circular,full,208,lda
15,0.192,0.25429677853855653,2742.8635675907135,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,circular,linear,169,lda
16,0.204,0.24869603385421438,2901.7604367733,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,circular,circular,178,lda
17,0.22,0.26713898991327717,2519.2252690792084,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,circular,pairwise,157,lda
18,0.16,0.20979867073854414,2842.8817331790924,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,circular,sca,174,lda
19,0.168,0.2050409585408334,4570.480637788773,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,sca,full,235,lda
20,0.2,0.251172311636519,2537.5632870197296,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,sca,linear,158,lda
21,0.2,0.23138284601407816,2457.3601026535034,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,sca,circular,150,lda
22,0.132,0.16630092764378476,3376.080730199814,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,sca,pairwise,209,lda
23,0.208,0.2750989547038328,2893.0780062675476,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,sca,sca,176,lda
24,0.308,0.27581043708718145,1960.3196115493774,<function get_paulitwodesign at 0x7f08171f9940>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,,,138,lda
25,0.188,0.2346457847222853,2110.2481591701508,<function get_paulitwodesign at 0x7f08171f9940>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,,full,105,lda
26,0.144,0.19232868268349793,1540.801109790802,<function get_paulitwodesign at 0x7f08171f9940>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,,linear,91,lda
27,0.184,0.2392857142857143,1195.4038031101227,<function get_paulitwodesign at 0x7f08171f9940>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,,circular,70,lda
28,0.176,0.2041615938652798,1378.863715171814,<function get_paulitwodesign at 0x7f08171f9940>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,,pairwise,82,lda
29,0.196,0.23885798048747797,1665.1905436515808,<function get_paulitwodesign at 0x7f08171f9940>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,,sca,98,lda
30,0.492,0.4807752911667236,2282.7832062244415,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,full,,167,lda
31,0.496,0.49029340157885476,2260.777975320816,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,linear,,189,lda
32,0.56,0.5507499845753279,2230.7139999866486,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,circular,,184,lda
33,0.528,0.5169072681704261,2165.526796579361,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,sca,,177,lda
34,0.236,0.30333234167230116,2021.4320352077484,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,full,103,lda
35,0.216,0.2727838005846421,1772.5271241664886,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,linear,110,lda
36,0.184,0.2299462580202387,1334.8697395324707,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,circular,82,lda
37,0.176,0.21243943175381233,1352.7547080516815,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,pairwise,84,lda
38,0.184,0.23696815742397137,1424.8077948093414,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,sca,87,lda
39,0.204,0.24839714102059837,1786.681636095047,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,full,100,lda
40,0.22,0.2690970750285151,1571.664250612259,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,linear,107,lda
41,0.156,0.19235237095920343,1282.893837928772,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,circular,86,lda
42,0.224,0.279772308722585,1788.31973695755,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,pairwise,122,lda
43,0.164,0.20806597553181214,1680.735069990158,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,sca,113,lda
44,0.184,0.21388104325498067,1919.0891811847687,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,circular,full,105,lda
45,0.196,0.2393159693192059,1367.4088521003723,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,circular,linear,92,lda
46,0.192,0.23156044968404083,1967.4177136421204,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,circular,circular,133,lda
47,0.192,0.24182569849915744,1526.9734706878662,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,circular,pairwise,105,lda
48,0.176,0.19967142857142858,1052.9458537101746,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,circular,sca,71,lda
49,0.188,0.23166369546823973,1323.0653402805328,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,sca,full,74,lda
50,0.244,0.3024380790480238,1703.4627485275269,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,sca,linear,116,lda
51,0.204,0.2622029215388883,1376.984454870224,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,sca,circular,93,lda
52,0.18,0.23387410071309248,1131.0529975891113,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,sca,pairwise,77,lda
53,0.212,0.2651908948113462,1300.8908290863037,<function get_realamplitudes at 0x7f0816bd7e50>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,sca,sca,87,lda
54,0.444,0.4665888395698779,2481.8211319446564,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,full,,184,lda
55,0.504,0.5144018631732168,1682.166692495346,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,linear,,162,lda
56,0.528,0.5190140056022409,1856.0162835121155,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,circular,,155,lda
57,0.564,0.54972308447103,1730.571230173111,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,pairwise,,150,lda
58,0.532,0.5283703318152245,2536.3700954914093,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,sca,,209,lda
59,0.192,0.22903689354626441,1636.41770529747,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,full,101,lda
60,0.196,0.2519162300643817,1326.9079270362854,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,linear,83,lda
61,0.144,0.17953701723113488,1381.604658126831,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,circular,85,lda
62,0.2,0.2409851623913485,1892.623008966446,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,pairwise,117,lda
63,0.224,0.29210849909584086,1454.2066712379456,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,sca,94,lda
64,0.208,0.25021054984031776,2161.410794019699,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,full,121,lda
65,0.208,0.2517475678635664,1500.3500452041626,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,linear,121,lda
66,0.2,0.2557490600194959,1727.6916012763977,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,circular,116,lda
67,0.212,0.2708181276088253,1502.2237384319305,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,pairwise,111,lda
68,0.18,0.21767324658454015,1602.0612542629242,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,sca,107,lda
69,0.196,0.23198991569969915,1839.1858925819397,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,circular,full,125,lda
70,0.192,0.23905157232704402,1680.545333147049,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,circular,linear,114,lda
71,0.22,0.2618355514281792,1084.9040372371674,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,circular,circular,79,lda
72,0.208,0.26743827699806877,1535.5929980278015,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,circular,pairwise,104,lda
73,0.144,0.18603563465161685,1569.3841934204102,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,circular,sca,125,lda
74,0.2,0.23928655017186576,1532.589026927948,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,pairwise,full,90,lda
75,0.24,0.28905366360317264,682.6743524074554,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,pairwise,linear,72,lda
76,0.176,0.23536280382313735,1411.052095413208,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,pairwise,circular,100,lda
77,0.212,0.2593560927960928,1018.3118486404419,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,pairwise,pairwise,116,lda
78,0.184,0.23699530791788856,1374.7872741222382,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,pairwise,sca,99,lda
79,0.144,0.1911640453337166,1058.8626301288605,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,sca,full,102,lda
80,0.2,0.24771561633301167,1469.0862698554993,<function get_twolocal at 0x7f0846c05b80>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,sca,linear,122,lda
