index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.484,0.42625801095799437,9632.18288230896,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zfeaturemap at 0x7fd03fed61f0>,full,,250,pca
1,0.488,0.3312234782608695,8467.123218297958,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zfeaturemap at 0x7fd03fed61f0>,linear,,250,pca
2,0.444,0.40259684395090595,8523.812087059021,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zfeaturemap at 0x7fd03fed61f0>,circular,,250,pca
3,0.484,0.3730598290598291,8509.891777992249,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zfeaturemap at 0x7fd03fed61f0>,sca,,250,pca
4,0.268,0.3201052702410761,9222.778841018677,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,full,157,pca
5,0.324,0.3704383356313904,11573.168261528015,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,linear,238,pca
6,0.224,0.2693976107516177,9488.18562746048,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,circular,193,pca
7,0.34,0.3739252209856681,11029.77378988266,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,pairwise,228,pca
8,0.372,0.4159349906442128,11249.988631248474,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,sca,230,pca
9,0.252,0.30253924466338267,12181.997316598892,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,full,227,pca
10,0.44,0.44026212348371263,9499.354530096054,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,linear,216,pca
11,0.276,0.3293775045343006,7763.906494617462,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,circular,176,pca
12,0.312,0.33431782426778245,8595.990586042404,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,pairwise,196,pca
13,0.356,0.40201232841906226,11141.427199363708,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,sca,250,pca
14,0.244,0.29403238276037585,12497.421904802322,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,full,231,pca
15,0.352,0.3973792784371538,9982.48883318901,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,linear,227,pca
16,0.32,0.3357339590381607,11133.44057059288,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,circular,250,pca
17,0.296,0.3251996948893974,10472.359480381012,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,pairwise,239,pca
18,0.356,0.3837543971858011,11187.51773571968,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,sca,250,pca
19,0.236,0.2862565426170468,10310.992691755295,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,full,190,pca
20,0.352,0.39291221156339123,11032.512006044388,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,linear,250,pca
21,0.3,0.3258658030853153,11078.957333087921,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,circular,250,pca
22,0.312,0.3395978505163662,8535.216030836105,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,pairwise,193,pca
23,0.356,0.39522279444326286,11079.189090013504,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,sca,250,pca
24,0.488,0.4544654275092936,5898.441937923431,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zfeaturemap at 0x7fd03fed61f0>,,,154,pca
25,0.272,0.33260376175548584,5690.374975681305,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,,full,97,pca
26,0.32,0.37084689006446714,5358.626533985138,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,,linear,111,pca
27,0.316,0.37682035231650063,5354.9592871665955,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,,circular,110,pca
28,0.296,0.3103611412062116,5257.759429693222,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,,pairwise,109,pca
29,0.312,0.35729376541061925,4819.153866052628,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_cobyla at 0x7fd008c8ef70>,<function get_zzfeaturemap at 0x7fd03fed6280>,,sca,99,pca
