index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.432,0.40188933655654047,9633.177412748337,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,full,,250,pca
1,0.384,0.3932520463720879,8466.379609584808,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,linear,,250,pca
2,0.364,0.38780848153214775,8511.25686955452,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,circular,,250,pca
3,0.38,0.39722299960781093,8540.537303686142,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zfeaturemap at 0x7f122bf1f1f0>,sca,,250,pca
4,0.236,0.3123385717517532,10508.050216674805,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,full,179,pca
5,0.256,0.317610596059517,10580.332613945007,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,linear,219,pca
6,0.188,0.24244211312595212,8030.711590528488,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,circular,164,pca
7,0.204,0.2480217842010482,11879.898481607437,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,pairwise,246,pca
8,0.172,0.23316915843110322,8612.223983764648,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,sca,176,pca
9,0.24,0.3062547333803147,10162.306818008423,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_cobyla at 0x7f11f4cd7f70>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,full,189,pca
