index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.316,0.3359120879120879,9694.741308689117,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,full,,250,pca
1,0.372,0.3800780770628417,8504.537204742432,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,linear,,250,pca
2,0.288,0.3475484246400439,7179.343949317932,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,circular,,210,pca
3,0.324,0.34635628964229376,6455.55330657959,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zfeaturemap at 0x7f0846bfb550>,sca,,188,pca
4,0.228,0.28379158030959134,9844.196774482727,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,full,168,pca
5,0.216,0.2653847774734588,9805.290444374084,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,linear,202,pca
6,0.216,0.2756323937360179,9966.015367269516,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,circular,203,pca
7,0.24,0.3072843954965069,10908.496668100357,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,pairwise,224,pca
8,0.236,0.28642704767710003,8675.789521694183,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,full,sca,177,pca
9,0.212,0.26451870591945886,11520.858487129211,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,full,213,pca
10,0.204,0.27136663560111834,9705.883952140808,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,linear,221,pca
11,0.212,0.26793622836319464,7313.998322725296,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,circular,165,pca
12,0.184,0.2393376623376623,8709.211528301239,<function get_efficientsu2 at 0x7f0816bd7ee0>,<function get_cobyla at 0x7f0816bd7f70>,<function get_zzfeaturemap at 0x7f0846c059d0>,linear,pairwise,199,pca
