index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.22,0.16463408111721883,5678.939154624939,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zfeaturemap at 0x7fd03fed61f0>,full,,383,lda
1,0.032,0.006506912442396314,5822.474887132645,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zfeaturemap at 0x7fd03fed61f0>,linear,,439,lda
2,0.028,0.0023333333333333335,5669.558971405029,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zfeaturemap at 0x7fd03fed61f0>,circular,,424,lda
3,0.092,0.11698013245033112,5859.566719293594,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zfeaturemap at 0x7fd03fed61f0>,sca,,439,lda
4,0.2,0.19246195222274956,9222.865220785141,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,full,442,lda
5,0.088,0.12676451686017917,8479.93469619751,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,linear,487,lda
6,0.148,0.18811397508819927,8604.0124771595,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,circular,484,lda
7,0.192,0.23025785808394506,10847.920069932938,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,pairwise,623,lda
8,0.184,0.1981193104410045,7723.721038341522,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,sca,435,lda
9,0.228,0.26577723798646663,8369.520562410355,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,full,436,lda
10,0.044,0.01598090193015005,6936.726049661636,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,linear,433,lda
11,0.212,0.27428962301774906,8645.810551404953,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,circular,535,lda
12,0.128,0.1855298245614035,6842.8912525177,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,pairwise,425,lda
13,0.14,0.20197894782036235,7966.526856422424,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,sca,484,lda
14,0.224,0.22318377324869138,9504.976109981537,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,full,488,lda
15,0.304,0.35209955005067295,6965.18820142746,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,linear,437,lda
16,0.192,0.25484914430888633,10314.823800563812,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,circular,630,lda
17,0.172,0.23817454036577718,7043.316425561905,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,pairwise,442,lda
18,0.08,0.09873684899758076,8291.829583883286,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,sca,502,lda
19,0.148,0.19353202817370083,9585.597200632095,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,full,491,lda
20,0.172,0.21144398738516385,7085.866956710815,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,linear,435,lda
21,0.112,0.12797651046465552,8870.026294469833,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,circular,537,lda
22,0.312,0.2961005293958356,7879.711173057556,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,pairwise,491,lda
23,0.1,0.14320660705095212,7959.803720474243,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,sca,488,lda
24,0.14,0.11726083707025411,4787.66060090065,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zfeaturemap at 0x7fd03fed61f0>,,,337,lda
