index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.156,0.17280325424350299,8030.914273738861,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zfeaturemap at 0x7f122bf1f1f0>,full,,538,lda
1,0.16,0.19240056532763067,9038.66526389122,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zfeaturemap at 0x7f122bf1f1f0>,linear,,680,lda
2,0.156,0.20599653270291568,5897.714344024658,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zfeaturemap at 0x7f122bf1f1f0>,circular,,444,lda
3,0.26,0.32461939723088273,7790.311192035675,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zfeaturemap at 0x7f122bf1f1f0>,sca,,586,lda
4,0.236,0.24880540780867275,13165.972534656525,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,full,630,lda
5,0.208,0.24967271041898406,8507.358135223389,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,linear,482,lda
6,0.2,0.24259255116697817,8670.634137153625,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,circular,487,lda
7,0.204,0.24848689014067166,7701.12531208992,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,pairwise,437,lda
8,0.168,0.21844737545144213,8654.182237148285,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,sca,489,lda
9,0.18,0.21949233712120747,10421.795827627182,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,full,542,lda
10,0.164,0.22329869212473014,8521.244688749313,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,linear,531,lda
11,0.16,0.2184551020408163,9388.419637441635,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,circular,582,lda
12,0.132,0.17922166149693458,8753.53215956688,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,pairwise,545,lda
13,0.148,0.19475756160967717,8480.685156822205,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,sca,526,lda
14,0.156,0.19225781625781627,8571.117315530777,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,full,436,lda
15,0.188,0.2271524367113195,8642.75452208519,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,linear,536,lda
16,0.176,0.22458311688311688,8718.683195352554,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,circular,528,lda
17,0.168,0.21585434317501068,6305.576171159744,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,pairwise,390,lda
18,0.172,0.2153388928705332,9524.117848396301,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,sca,583,lda
19,0.2,0.24784414073858682,10319.639694452286,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,full,535,lda
20,0.184,0.23178935788564053,9376.48390841484,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,linear,576,lda
21,0.188,0.23408569256082234,8676.603273153305,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,circular,532,lda
