index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.176,0.2158156442069097,7125.62264084816,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zfeaturemap at 0x7f6136935550>,full,,483,lda
1,0.12,0.17202629830389926,7013.831630945206,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zfeaturemap at 0x7f6136935550>,linear,,530,lda
2,0.252,0.3072849451645065,6444.881555080414,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zfeaturemap at 0x7f6136935550>,circular,,482,lda
3,0.212,0.2270581736158948,5968.768866062164,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zfeaturemap at 0x7f6136935550>,sca,,448,lda
4,0.2,0.21541613291414569,11237.295759439468,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,full,full,539,lda
5,0.168,0.20416049610766593,8529.865459442139,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,full,linear,491,lda
6,0.22,0.2678712876704285,9496.82902264595,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,full,circular,538,lda
7,0.216,0.2686770830185258,10157.734976291656,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,full,pairwise,586,lda
8,0.196,0.23881185469409075,10468.125735998154,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,full,sca,587,lda
9,0.18,0.2136389576037717,9473.09599494934,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,linear,full,486,lda
10,0.188,0.24219306768633572,7692.105367898941,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,linear,linear,481,lda
11,0.144,0.19629967325555644,7056.653736829758,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,linear,circular,436,lda
12,0.152,0.1962256965826586,7777.775926351547,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,linear,pairwise,486,lda
13,0.16,0.19899632736744566,8663.02609705925,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,linear,sca,536,lda
14,0.152,0.19988612890868532,8636.389459848404,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,circular,full,443,lda
15,0.2,0.2663711574952562,7766.145801067352,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,circular,linear,486,lda
16,0.192,0.23346457818008703,8027.932335853577,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,circular,circular,489,lda
17,0.212,0.2793217707024158,8654.57581615448,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,circular,pairwise,537,lda
18,0.176,0.23071841980672547,8698.92140507698,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,circular,sca,529,lda
19,0.208,0.24961236692551458,9371.260301351547,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,sca,full,484,lda
20,0.172,0.21996190073609428,7832.880221128464,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,sca,linear,486,lda
21,0.164,0.21953108672662536,7168.4622395038605,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,sca,circular,439,lda
22,0.204,0.26858200045568464,7208.408868551254,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,sca,pairwise,445,lda
23,0.148,0.1938172792707417,7114.722422361374,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,sca,sca,436,lda
24,0.208,0.24224395295164686,6690.15135717392,<function get_paulitwodesign at 0x7f6106f34940>,<function get_neldermead at 0x7f6106916160>,<function get_zfeaturemap at 0x7f6136935550>,,,467,lda
25,0.16,0.2132764679791191,8048.658867120743,<function get_paulitwodesign at 0x7f6106f34940>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,,full,398,lda
26,0.176,0.22891968882802397,7004.852191209793,<function get_paulitwodesign at 0x7f6106f34940>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,,linear,418,lda
27,0.144,0.15486743070421452,7591.486758708954,<function get_paulitwodesign at 0x7f6106f34940>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,,circular,445,lda
28,0.172,0.19884367659632907,7830.713248729706,<function get_paulitwodesign at 0x7f6106f34940>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,,pairwise,468,lda
29,0.14,0.17625309225906985,7515.898171186447,<function get_paulitwodesign at 0x7f6106f34940>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,,sca,441,lda
30,0.24,0.2062819297950144,5361.286685228348,<function get_realamplitudes at 0x7f6106911e50>,<function get_neldermead at 0x7f6106916160>,<function get_zfeaturemap at 0x7f6136935550>,full,,395,lda
31,0.176,0.18232315323565326,4573.632998943329,<function get_realamplitudes at 0x7f6106911e50>,<function get_neldermead at 0x7f6106916160>,<function get_zfeaturemap at 0x7f6136935550>,linear,,379,lda
32,0.176,0.2533194805194805,5739.258068323135,<function get_realamplitudes at 0x7f6106911e50>,<function get_neldermead at 0x7f6106916160>,<function get_zfeaturemap at 0x7f6136935550>,circular,,473,lda
33,0.168,0.2080356804214223,5147.794642686844,<function get_realamplitudes at 0x7f6106911e50>,<function get_neldermead at 0x7f6106916160>,<function get_zfeaturemap at 0x7f6136935550>,sca,,423,lda
34,0.188,0.2171209494324046,9233.781216859818,<function get_realamplitudes at 0x7f6106911e50>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,full,full,477,lda
35,0.184,0.21753367722670855,7156.048993349075,<function get_realamplitudes at 0x7f6106911e50>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,full,linear,447,lda
36,0.176,0.2107936369582636,6811.119037151337,<function get_realamplitudes at 0x7f6106911e50>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,full,circular,418,lda
37,0.192,0.24557931749888584,7572.68533539772,<function get_realamplitudes at 0x7f6106911e50>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,full,pairwise,473,lda
38,0.196,0.24361302112001376,8009.645428657532,<function get_realamplitudes at 0x7f6106911e50>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,full,sca,489,lda
39,0.148,0.1844884308440357,7169.281616687775,<function get_realamplitudes at 0x7f6106911e50>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,linear,full,395,lda
40,0.156,0.20825002598662554,5455.213166952133,<function get_realamplitudes at 0x7f6106911e50>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,linear,linear,374,lda
41,0.132,0.18671548619447778,6254.882670640945,<function get_realamplitudes at 0x7f6106911e50>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,linear,circular,422,lda
42,0.184,0.2533015938477465,6480.951085567474,<function get_realamplitudes at 0x7f6106911e50>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,linear,pairwise,440,lda
