index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.312,0.3006349414753308,23061.146016597748,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zfeaturemap at 0x7fd03fed61f0>,full,,597,pca
1,0.112,0.12863392607392604,24041.777549505234,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zfeaturemap at 0x7fd03fed61f0>,linear,,709,pca
2,0.032,0.03638267127063808,22031.607704639435,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zfeaturemap at 0x7fd03fed61f0>,circular,,646,pca
3,0.124,0.15495146127153858,16625.419464826584,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zfeaturemap at 0x7fd03fed61f0>,sca,,487,pca
4,0.252,0.31574827595194044,28204.2226126194,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,full,483,pca
5,0.172,0.2082586115527292,20443.375354766846,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,linear,423,pca
6,0.196,0.25615994440558154,23574.27642083168,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,circular,483,pca
7,0.2,0.2611694764862467,23489.910567998886,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,pairwise,486,pca
8,0.24,0.29281089881717504,31654.752461910248,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,sca,647,pca
9,0.208,0.26989299363057323,25906.13495373726,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,full,481,pca
10,0.144,0.18584242252707742,21173.23399758339,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,linear,483,pca
11,0.208,0.2666863605573284,26100.46063876152,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,circular,591,pca
12,0.172,0.24548282847991154,18675.737600564957,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,pairwise,425,pca
13,0.212,0.2682221275018684,24365.908940315247,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,sca,550,pca
14,0.232,0.290141383226172,29153.419177770615,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,full,538,pca
15,0.212,0.23260782306944094,18450.19460582733,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_neldermead at 0x7fd008c970d0>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,linear,419,pca
