index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.2,0.2589973434873131,16258.80613231659,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zfeaturemap at 0x7f122bf1f1f0>,full,,422,pca
1,0.104,0.16496604495456724,16363.208302497864,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zfeaturemap at 0x7f122bf1f1f0>,linear,,483,pca
2,0.12,0.17042188077962725,16338.951359033585,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zfeaturemap at 0x7f122bf1f1f0>,circular,,480,pca
3,0.152,0.20508378133494412,18269.466218709946,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zfeaturemap at 0x7f122bf1f1f0>,sca,,536,pca
4,0.232,0.2914279235022215,28308.25306224823,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,full,485,pca
5,0.208,0.2654502164502164,26032.60033273697,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,linear,539,pca
6,0.176,0.22654846749888766,26255.361956357956,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,circular,537,pca
7,0.184,0.23740710076319843,23590.5160779953,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,pairwise,485,pca
8,0.196,0.2328770869290749,23880.681215286255,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,sca,488,pca
9,0.236,0.300314237537767,32126.335213661194,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,full,596,pca
10,0.184,0.24680405472664954,21237.487776994705,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,linear,484,pca
11,0.208,0.26903879472693026,21354.620136260986,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,circular,484,pca
12,0.164,0.20740974169283088,21276.24588727951,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_neldermead at 0x7f11f4cdf0d0>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,pairwise,483,pca
