index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.164,0.22488426695255964,20948.153238773346,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zfeaturemap at 0x7f6136935550>,full,,543,pca
1,0.116,0.14522043907583165,18082.81392145157,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zfeaturemap at 0x7f6136935550>,linear,,534,pca
2,0.12,0.14460170171349118,16365.59547829628,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zfeaturemap at 0x7f6136935550>,circular,,481,pca
3,0.176,0.20963958587234446,18381.06794309616,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zfeaturemap at 0x7f6136935550>,sca,,540,pca
4,0.232,0.2963765162291478,28089.99317216873,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,full,full,482,pca
5,0.212,0.2760368322118397,23127.289972543716,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,full,linear,479,pca
6,0.184,0.24035063994064318,26321.502920627594,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,full,circular,539,pca
7,0.18,0.23139251336898392,23806.00359082222,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,full,pairwise,491,pca
8,0.188,0.24754582062568914,26452.967972517014,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,full,sca,540,pca
9,0.172,0.2165010603743459,29047.5124604702,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,linear,full,542,pca
10,0.16,0.2114004929821574,26298.202203035355,<function get_efficientsu2 at 0x7f6106911ee0>,<function get_neldermead at 0x7f6106916160>,<function get_zzfeaturemap at 0x7f613693f9d0>,linear,linear,600,pca
