index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.532,0.4365668946648426,2972.7183344364166,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,full,,201,lda
1,0.608,0.5678889586178892,2682.7886140346527,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,linear,,201,lda
2,0.492,0.3253548387096774,2693.389787912369,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,circular,,201,lda
3,0.496,0.39830931778425654,2708.9449665546417,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,sca,,201,lda
4,0.336,0.3739556791527021,4172.194339752197,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,full,201,lda
5,0.492,0.47638626624465263,3477.5358328819275,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,linear,201,lda
6,0.508,0.5108927039612318,3584.4097135066986,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,circular,201,lda
7,0.584,0.5864914128624337,3508.0428347587585,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,pairwise,201,lda
8,0.496,0.5305458269329236,3621.393765449524,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,sca,201,lda
9,0.308,0.35915145720689906,3929.5811626911163,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,full,201,lda
10,0.488,0.4341991624011168,3223.896344900131,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,linear,201,lda
11,0.508,0.48769068361472,3270.6569006443024,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,circular,201,lda
12,0.536,0.5411688015424249,3229.826687812805,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,pairwise,201,lda
13,0.504,0.49258823529411766,3330.1869270801544,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,sca,201,lda
14,0.448,0.4626608946608946,3981.033749818802,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,full,201,lda
15,0.508,0.50758662229398,3252.3688383102417,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,linear,201,lda
16,0.516,0.5169814905814906,3294.574319124222,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,circular,201,lda
17,0.576,0.5649076886601676,3251.8496944904327,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,pairwise,201,lda
18,0.536,0.5411805143875732,3307.702301502228,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,sca,201,lda
19,0.4,0.42919132558262985,3965.560446739197,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,full,201,lda
20,0.568,0.5624714871290375,3241.4376859664917,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,linear,201,lda
21,0.548,0.5490601398601399,3298.030298233032,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,circular,201,lda
22,0.532,0.5286647506623509,3276.766095161438,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,pairwise,201,lda
23,0.46,0.48330691298055,3292.6030349731445,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,sca,201,lda
24,0.512,0.39466169617893754,2851.0321605205536,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,,,201,lda
25,0.42,0.4617050346053608,4045.277051925659,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,,full,201,lda
26,0.572,0.5568500217828767,3387.3362698554993,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,,linear,201,lda
27,0.528,0.5383822122150297,3430.9733941555023,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,,circular,201,lda
28,0.452,0.4555397059666723,3404.408798456192,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,,pairwise,201,lda
29,0.376,0.3811293700088731,3454.693348646164,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,,sca,201,lda
30,0.5,0.34215024820739104,2710.840788125992,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,full,,201,lda
31,0.508,0.36995109873104304,2422.76398229599,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,linear,,201,lda
32,0.608,0.5701045197740113,2424.7874393463135,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,circular,,201,lda
33,0.516,0.39844245670860845,2430.537551879883,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,sca,,201,lda
34,0.464,0.494607497480109,3888.0452840328217,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,full,201,lda
35,0.512,0.4973434217955957,3226.1620359420776,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,linear,201,lda
36,0.516,0.5313247439544065,3279.38427734375,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,circular,201,lda
37,0.548,0.5406856171452856,3256.0209543704987,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,pairwise,201,lda
38,0.452,0.4339743842364532,3276.0630865097046,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,sca,201,lda
39,0.488,0.47321487603305784,3578.3642661571503,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,full,201,lda
40,0.54,0.5139775266386826,2957.931438922882,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,linear,201,lda
41,0.548,0.5632423108764236,3006.787250518799,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,circular,201,lda
42,0.536,0.5348803693948558,2953.8750994205475,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,pairwise,201,lda
43,0.484,0.47305298142717506,2977.455963373184,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,sca,201,lda
44,0.476,0.4475576993160675,3599.8004360198975,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,full,201,lda
45,0.528,0.4845723006334836,2999.1256222724915,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,linear,201,lda
46,0.472,0.5017632425905624,3065.413961172104,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,circular,201,lda
47,0.536,0.5295589456931019,2986.0252945423126,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,pairwise,201,lda
48,0.532,0.5393268907563027,3017.2441415786743,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,sca,201,lda
49,0.48,0.49107305309424604,3600.5670115947723,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,full,201,lda
50,0.528,0.5428413025259747,2985.142399072647,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,linear,201,lda
51,0.568,0.5654604379386163,3053.138784646988,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,circular,201,lda
52,0.496,0.46148488769122153,2957.688131093979,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,pairwise,201,lda
53,0.516,0.5313073315382593,3002.023660182953,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,sca,201,lda
54,0.504,0.3451428571428571,2719.2310857772827,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,full,,201,lda
55,0.5,0.47494839496139774,2408.4172823429108,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,linear,,201,lda
56,0.496,0.3408777982829174,2459.486117362976,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,circular,,201,lda
57,0.504,0.3591114888794446,2386.330967903137,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,pairwise,,201,lda
58,0.516,0.4408969696969697,2458.808271884918,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,sca,,201,lda
59,0.436,0.4617755635587569,3840.947552204132,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,full,201,lda
60,0.58,0.5775277055189094,3220.456099510193,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,linear,201,lda
61,0.476,0.4727489469291331,3167.148625612259,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,circular,201,lda
62,0.516,0.46237366257272144,3217.0195922851562,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,pairwise,201,lda
63,0.492,0.4934810690552198,3108.6025099754333,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,sca,201,lda
64,0.38,0.4046940719473062,3572.949392080307,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,full,201,lda
65,0.584,0.5679281372734338,2034.2114906311035,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,linear,201,lda
66,0.512,0.5101632101644485,2515.0092475414276,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,circular,201,lda
67,0.608,0.600224526266378,1867.4128279685974,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,pairwise,201,lda
68,0.444,0.4588924118660427,2479.542410135269,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,sca,201,lda
69,0.38,0.42215608247422676,2214.7983095645905,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,full,201,lda
70,0.504,0.4767158706361106,2470.488665819168,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,linear,201,lda
71,0.516,0.5355821164659368,1920.5450506210327,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,circular,201,lda
72,0.524,0.5431316109422493,2337.848989725113,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,pairwise,201,lda
73,0.48,0.4791719190635794,1905.5188074111938,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,sca,201,lda
74,0.432,0.38198304552590273,2747.1334207057953,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,pairwise,full,201,lda
75,0.544,0.5451127863050313,1734.7563817501068,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,pairwise,linear,201,lda
76,0.488,0.4825637891520244,2349.849267244339,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,pairwise,circular,201,lda
77,0.58,0.5501073825503356,1801.3011829853058,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,pairwise,pairwise,201,lda
78,0.524,0.5280415584415585,2341.036941051483,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,pairwise,sca,201,lda
79,0.4,0.3984131306990882,2189.5248329639435,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,full,201,lda
80,0.464,0.4897571428571429,2237.3181421756744,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,linear,201,lda
81,0.52,0.48600187866927597,1827.7512147426605,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,circular,201,lda
82,0.46,0.4625982988478011,2234.8840911388397,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,pairwise,201,lda
83,0.54,0.5396250277674937,1791.344782590866,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,sca,201,lda
