index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.468,0.4663008849557522,2971.688673019409,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zfeaturemap at 0x7f122bf1f1f0>,full,,201,lda
1,0.468,0.45293151198607207,2660.7957332134247,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zfeaturemap at 0x7f122bf1f1f0>,linear,,201,lda
2,0.452,0.42589090909090904,2712.717827320099,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zfeaturemap at 0x7f122bf1f1f0>,circular,,201,lda
3,0.464,0.49177866722391,2672.2103691101074,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zfeaturemap at 0x7f122bf1f1f0>,sca,,201,lda
4,0.232,0.28246716610694916,4180.056211709976,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,full,201,lda
5,0.14,0.18249668012525214,3507.675238609314,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,linear,201,lda
6,0.192,0.24232976909682788,3559.5280153751373,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,circular,201,lda
7,0.248,0.3148061431469139,3517.9542224407196,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,pairwise,201,lda
8,0.208,0.26195679320679316,3587.6227815151215,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,sca,201,lda
9,0.172,0.22150437710437712,3884.366703748703,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,full,201,lda
10,0.216,0.2718958090879372,3217.1589477062225,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,linear,201,lda
11,0.184,0.23376799168736287,3280.801996231079,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,circular,201,lda
12,0.22,0.2584679208334159,3230.803784132004,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,pairwise,201,lda
13,0.196,0.2470260810604648,3280.3092708587646,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,sca,201,lda
14,0.148,0.1929066490678106,3930.2909841537476,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,full,201,lda
15,0.22,0.2793959838309378,3272.774250268936,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,linear,201,lda
16,0.2,0.2539950310559006,3298.1122007369995,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,circular,201,lda
17,0.212,0.2628231895249746,3245.9291064739227,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,pairwise,201,lda
18,0.204,0.24828403727231294,3301.2818217277527,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,circular,sca,201,lda
19,0.112,0.14651152768799827,3924.048747062683,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,full,201,lda
20,0.196,0.23546578754578754,3268.6604630947113,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,linear,201,lda
21,0.168,0.19931544209215443,3339.6730015277863,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,circular,201,lda
22,0.212,0.2782685388328214,3315.8150310516357,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,pairwise,201,lda
23,0.184,0.22168661590863556,3332.258234024048,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,sca,sca,201,lda
24,0.444,0.4799672263993316,2836.6938700675964,<function get_paulitwodesign at 0x7f122bf1f4c0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zfeaturemap at 0x7f122bf1f1f0>,,,201,lda
25,0.164,0.19342326490713585,4055.2699637413025,<function get_paulitwodesign at 0x7f122bf1f4c0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,,full,201,lda
26,0.204,0.24656763925729444,3396.650097131729,<function get_paulitwodesign at 0x7f122bf1f4c0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,,linear,201,lda
27,0.168,0.22217150404383254,3441.4612526893616,<function get_paulitwodesign at 0x7f122bf1f4c0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,,circular,201,lda
28,0.22,0.28026990008124464,3377.0548293590546,<function get_paulitwodesign at 0x7f122bf1f4c0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,,pairwise,201,lda
29,0.124,0.15598775486801494,3430.3559420108795,<function get_paulitwodesign at 0x7f122bf1f4c0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,,sca,201,lda
30,0.516,0.5342890170998131,2735.5446469783783,<function get_realamplitudes at 0x7f1225867550>,<function get_spsa at 0x7f11f4cdf040>,<function get_zfeaturemap at 0x7f122bf1f1f0>,full,,201,lda
31,0.432,0.4101748251748252,2458.000930070877,<function get_realamplitudes at 0x7f1225867550>,<function get_spsa at 0x7f11f4cdf040>,<function get_zfeaturemap at 0x7f122bf1f1f0>,linear,,201,lda
32,0.492,0.4844451224212262,2422.75630068779,<function get_realamplitudes at 0x7f1225867550>,<function get_spsa at 0x7f11f4cdf040>,<function get_zfeaturemap at 0x7f122bf1f1f0>,circular,,201,lda
