index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.512,0.5051879860552427,3748.1242303848267,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zfeaturemap at 0x7f772c0bd550>,full,,251,lda
1,0.468,0.4657111578947369,3393.58731174469,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zfeaturemap at 0x7f772c0bd550>,linear,,251,lda
2,0.512,0.5070753246753247,3389.4827089309692,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zfeaturemap at 0x7f772c0bd550>,circular,,251,lda
3,0.444,0.4419883834315513,3387.318234205246,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zfeaturemap at 0x7f772c0bd550>,sca,,251,lda
4,0.224,0.26567104237673106,5247.51372218132,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,full,full,251,lda
5,0.236,0.287667845957419,4394.692157268524,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,full,linear,251,lda
6,0.184,0.23268655636193208,4443.175023555756,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,full,circular,251,lda
7,0.212,0.28469992277992273,4428.242000102997,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,full,pairwise,251,lda
8,0.168,0.21150894996476394,4492.367871761322,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,full,sca,251,lda
9,0.228,0.27768357877295957,4878.090902328491,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,linear,full,251,lda
10,0.232,0.2682484866691942,4032.144249677658,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,linear,linear,251,lda
11,0.24,0.288546142687303,4093.9853825569153,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,linear,circular,251,lda
12,0.248,0.28644920879673674,4035.6328740119934,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,linear,pairwise,251,lda
13,0.192,0.2336710993839514,4068.771994829178,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,linear,sca,251,lda
14,0.24,0.2545017768404649,4868.9146049022675,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,circular,full,251,lda
15,0.2,0.24160595035977042,4039.1114292144775,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,circular,linear,251,lda
16,0.18,0.2131696601271069,4169.538189172745,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,circular,circular,251,lda
17,0.264,0.29793234279332287,4121.262661457062,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,circular,pairwise,251,lda
18,0.236,0.29264130708001673,4115.76394367218,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,circular,sca,251,lda
19,0.208,0.25719550386299606,4881.14599609375,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,sca,full,251,lda
20,0.204,0.2529341335333834,4066.1042020320892,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,sca,linear,251,lda
21,0.156,0.19627815558470388,4138.518691062927,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,sca,circular,251,lda
22,0.22,0.2766878775893464,4102.198478460312,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,sca,pairwise,251,lda
23,0.156,0.20484318296083,4114.845412731171,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,sca,sca,251,lda
24,0.464,0.46178902843188563,3562.2673165798187,<function get_paulitwodesign at 0x7f76fc6bd940>,<function get_spsa at 0x7f76fc09f040>,<function get_zfeaturemap at 0x7f772c0bd550>,,,251,lda
