index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.484,0.3226666666666667,7755.547813177109,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,full,,201,pca
1,0.484,0.3226666666666667,6816.574468135834,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,linear,,201,pca
2,0.504,0.45663736263736265,6840.039758205414,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,circular,,201,pca
3,0.452,0.4012057416267943,6835.9988758563995,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,sca,,201,pca
4,0.316,0.361421086736737,11796.051982402802,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,full,201,pca
5,0.3,0.34396050475254014,9744.76254582405,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,linear,201,pca
6,0.324,0.3684510695187166,9849.93440079689,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,circular,201,pca
7,0.396,0.42761476096673784,9710.448739528656,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,pairwise,201,pca
8,0.328,0.3736864161849711,9855.045517921448,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,sca,201,pca
9,0.268,0.30760334646626775,10793.99470448494,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,full,201,pca
10,0.412,0.43475637349186924,8823.610023975372,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,linear,201,pca
11,0.256,0.2853404939755954,8891.987724781036,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,circular,201,pca
12,0.28,0.31626570048309177,8870.053585529327,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,pairwise,201,pca
13,0.3,0.3415759542688549,8886.630027532578,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,sca,201,pca
14,0.268,0.3084006288939096,10880.10790348053,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,full,201,pca
15,0.32,0.3621814511483681,8811.856606960297,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,linear,201,pca
16,0.344,0.37798727760184786,8996.464510202408,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,circular,201,pca
17,0.34,0.33984,8832.27164196968,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,pairwise,201,pca
18,0.32,0.360073694426296,8940.245805740356,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,sca,201,pca
19,0.28,0.3360735934431828,10834.77664065361,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,full,201,pca
20,0.336,0.3591811224075016,8862.715048789978,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,linear,201,pca
21,0.344,0.37594712643678163,8929.787319660187,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,circular,201,pca
22,0.352,0.3777404004836631,8869.341701984406,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,pairwise,201,pca
23,0.3,0.32056641511261597,9001.302514314651,<function get_efficientsu2 at 0x7fd0392f39d0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,sca,201,pca
24,0.436,0.3938770941004388,7709.186758995056,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,,,201,pca
25,0.284,0.3306027722772277,11702.307167768478,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,,full,201,pca
26,0.34,0.3733503486603756,9665.891901016235,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,,linear,201,pca
27,0.34,0.40257929993377223,9795.93280172348,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,,circular,201,pca
28,0.296,0.3436288057823279,9717.416115999222,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,,pairwise,201,pca
29,0.36,0.40286253613270506,9814.643870592117,<function get_paulitwodesign at 0x7fd03fed64c0>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,,sca,201,pca
30,0.468,0.36833209006768886,7113.271912813187,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,full,,201,pca
31,0.456,0.41400692041522497,6174.6688849925995,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,linear,,201,pca
32,0.492,0.32448257372654155,6189.820815563202,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,circular,,201,pca
33,0.488,0.3375355721788954,6180.489133358002,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,sca,,201,pca
34,0.332,0.3595676582869435,11073.14188838005,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,full,201,pca
35,0.344,0.36158043887147334,9033.590054750443,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,linear,201,pca
36,0.304,0.3394659917046415,9137.122126579285,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,circular,201,pca
37,0.416,0.42001682816026253,9036.269414424896,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,pairwise,201,pca
38,0.336,0.3900925218572277,9125.87256026268,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,sca,201,pca
39,0.272,0.3134334462518184,10105.726078748703,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,full,201,pca
40,0.384,0.40997693127847246,8143.578047990799,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,linear,201,pca
41,0.388,0.41216258323767296,8192.457665681839,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,circular,201,pca
42,0.388,0.4361288079323842,8093.2399163246155,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,pairwise,201,pca
43,0.296,0.3394592332120652,8201.467180728912,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,sca,201,pca
44,0.3,0.3411353067099727,10210.045964717865,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,full,201,pca
45,0.348,0.3866240687855059,8186.941744804382,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,linear,201,pca
46,0.26,0.3103316782522344,8244.097914218903,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,circular,201,pca
47,0.328,0.3425142857142857,8176.425044536591,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,pairwise,201,pca
48,0.344,0.37159869463869466,8213.479296207428,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,circular,sca,201,pca
49,0.296,0.32873133123567916,10069.454525709152,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,full,201,pca
50,0.308,0.33987474384640187,8161.046586036682,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,linear,201,pca
51,0.316,0.35298285714285715,8267.601822853088,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,circular,201,pca
52,0.28,0.32041045045045047,8172.094980239868,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,pairwise,201,pca
53,0.26,0.3021880900012062,8221.349524736404,<function get_realamplitudes at 0x7fd03981e550>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,sca,sca,201,pca
54,0.492,0.45647628749292585,7069.176245212555,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,full,,201,pca
55,0.492,0.32448257372654155,6143.333532810211,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,linear,,201,pca
56,0.512,0.36691110632802404,6170.384180545807,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,circular,,201,pca
57,0.54,0.45598097265952386,6139.259602308273,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,pairwise,,201,pca
58,0.452,0.3322608403361345,6166.724293708801,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zfeaturemap at 0x7fd03fed61f0>,sca,,201,pca
59,0.304,0.34572145351092715,11014.736697912216,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,full,201,pca
60,0.448,0.4599900562399466,9027.023718118668,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,linear,201,pca
61,0.372,0.38398319025946237,8655.655046463013,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,circular,201,pca
62,0.364,0.3910534288977052,9038.721691131592,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,pairwise,201,pca
63,0.34,0.3618473262642286,8560.759751796722,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,full,sca,201,pca
64,0.308,0.3361197994987468,10129.557644605637,<function get_twolocal at 0x7fd03fed6310>,<function get_spsa at 0x7fd008c97040>,<function get_zzfeaturemap at 0x7fd03fed6280>,linear,full,201,pca
