index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.336,0.35065477186135113,7814.721210002899,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zfeaturemap at 0x7f122bf1f1f0>,full,,201,pca
1,0.408,0.3774006444683137,6874.284433364868,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zfeaturemap at 0x7f122bf1f1f0>,linear,,201,pca
2,0.312,0.3440412100269165,6863.076189041138,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zfeaturemap at 0x7f122bf1f1f0>,circular,,201,pca
3,0.412,0.4093134375927557,6911.239263534546,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zfeaturemap at 0x7f122bf1f1f0>,sca,,201,pca
4,0.2,0.25313972173789273,11722.138488769531,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,full,201,pca
5,0.216,0.28182525106986944,9706.36880660057,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,linear,201,pca
6,0.252,0.31406901034412316,9832.200619459152,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,circular,201,pca
7,0.22,0.27114515311791465,9706.4839656353,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,pairwise,201,pca
8,0.244,0.30146532104179163,9826.17546582222,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,full,sca,201,pca
9,0.22,0.29118609529517525,10803.538513422012,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,full,201,pca
10,0.28,0.3312307692307692,8826.007571935654,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,linear,201,pca
11,0.208,0.26678663569769523,8877.449811220169,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,circular,201,pca
12,0.144,0.19881111228776163,8828.287885665894,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,pairwise,201,pca
13,0.2,0.24564064856711915,8858.273162126541,<function get_efficientsu2 at 0x7f122533c9d0>,<function get_spsa at 0x7f11f4cdf040>,<function get_zzfeaturemap at 0x7f122bf1f280>,linear,sca,201,pca
