index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.38,0.3911117056856187,9730.856157302856,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zfeaturemap at 0x7f772c0bd550>,full,,251,pca
1,0.352,0.3685632510013351,8547.261321306229,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zfeaturemap at 0x7f772c0bd550>,linear,,251,pca
2,0.328,0.34231588052127787,8592.654215335846,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zfeaturemap at 0x7f772c0bd550>,circular,,251,pca
3,0.372,0.38150330767630536,8587.777620792389,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zfeaturemap at 0x7f772c0bd550>,sca,,251,pca
4,0.192,0.24925687477444966,14728.75914645195,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,full,full,251,pca
5,0.268,0.3271416359578213,12243.262209177017,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,full,linear,251,pca
6,0.204,0.2531965162517757,12389.195463895798,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,full,circular,251,pca
7,0.248,0.3061589481946625,12261.685386419296,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,full,pairwise,251,pca
8,0.264,0.3311396926392834,12327.715415239334,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,full,sca,251,pca
9,0.196,0.24876774100303511,13610.927064418793,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,linear,full,251,pca
10,0.204,0.24807047619047617,11055.313229084015,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,linear,linear,251,pca
11,0.208,0.25171925276401064,11181.606694936752,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,linear,circular,251,pca
12,0.228,0.2796551107498476,11047.755247116089,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,linear,pairwise,251,pca
13,0.164,0.20880635860394894,11133.030527591705,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,linear,sca,251,pca
14,0.2,0.25536967741935485,13597.806199550629,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,circular,full,251,pca
15,0.208,0.26947350608143844,11069.261245727539,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,circular,linear,251,pca
16,0.164,0.2140089450586345,11182.220519781113,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,circular,circular,251,pca
17,0.248,0.31714466807232766,11088.96259713173,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,circular,pairwise,251,pca
18,0.236,0.3000127948558118,11165.042648792267,<function get_efficientsu2 at 0x7f76fc098ee0>,<function get_spsa at 0x7f76fc09f040>,<function get_zzfeaturemap at 0x7f772c0c79d0>,circular,sca,251,pca
