index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing,number_init
0,0.37209302325581395,0.3575052854122621,313.7411410808563,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,full,,276,lda,0.05
0,0.3953488372093023,0.3532668881506091,206.08894681930542,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,full,,182,lda,0.1
0,0.37209302325581395,0.3169435215946844,240.26170229911804,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,full,,213,lda,0.15000000000000002
0,0.3488372093023256,0.30830564784053155,184.02254962921143,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,full,,163,lda,0.2
0,0.4883720930232558,0.4282945736434109,248.39181089401245,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,full,,219,lda,0.25
1,0.4186046511627907,0.40232871983177976,193.91794753074646,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,178,lda,0.05
1,0.3488372093023256,0.3276162790697674,185.93897676467896,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,171,lda,0.1
1,0.3488372093023256,0.3428974126648545,205.32218098640442,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,189,lda,0.15000000000000002
1,0.32558139534883723,0.30316818335018536,269.10470747947693,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,247,lda,0.2
1,0.4883720930232558,0.44518272425249167,208.52587223052979,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,192,lda,0.25
