index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.4883720930232558,0.43941248470012234,276.68424439430237,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,full,,242,lda
1,0.5813953488372093,0.5129703478501205,257.0187711715698,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,linear,,235,lda
2,0.20930232558139536,0.15010570824524314,204.2601203918457,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,circular,,184,lda
3,0.4883720930232558,0.4399812074230679,245.579692363739,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zfeaturemap at 0x7f1e4b5ce3a0>,sca,,223,lda
4,0.3488372093023256,0.34518923848609206,360.29058027267456,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,full,241,lda
5,0.3488372093023256,0.3075256391737686,273.2875728607178,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,linear,211,lda
6,0.4418604651162791,0.4236177521238138,362.40375113487244,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,circular,273,lda
7,0.4418604651162791,0.4402584271138366,268.8118417263031,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,pairwise,207,lda
8,0.37209302325581395,0.3626430417128092,292.78882336616516,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,full,sca,219,lda
9,0.3023255813953488,0.2758057935536516,317.1215682029724,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,linear,full,218,lda
10,0.27906976744186046,0.2672075986029474,280.52366852760315,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,linear,linear,225,lda
11,0.3953488372093023,0.36173539183115105,252.0353844165802,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,linear,circular,196,lda
12,0.46511627906976744,0.44437984496124033,262.5152871608734,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,linear,pairwise,207,lda
13,0.5813953488372093,0.5654514980096376,327.2428505420685,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,linear,sca,253,lda
14,0.3488372093023256,0.30711774897821414,351.1198387145996,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,circular,full,240,lda
15,0.32558139534883723,0.30918487197556965,241.36306023597717,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,circular,linear,192,lda
16,0.4186046511627907,0.415577703949797,269.1603808403015,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,circular,circular,208,lda
17,0.3488372093023256,0.32625827974665184,228.80733180046082,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,circular,pairwise,182,lda
18,0.5116279069767442,0.5133606931144551,344.6538815498352,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,circular,sca,265,lda
19,0.3953488372093023,0.34748687171792947,367.1517152786255,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,sca,full,251,lda
20,0.4186046511627907,0.3834530715058628,217.2944118976593,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,sca,linear,172,lda
21,0.4418604651162791,0.42186581128040634,321.6999855041504,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,sca,circular,248,lda
22,0.4186046511627907,0.39955703211517174,343.4134578704834,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,sca,pairwise,272,lda
23,0.4186046511627907,0.4047896770430852,327.1605818271637,<function get_efficientsu2 at 0x7f1e44458ee0>,<function get_cobyla at 0x7f1e13174940>,<function get_zzfeaturemap at 0x7f1e4b5ce430>,sca,sca,253,lda
