index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.4186046511627907,0.3188160676532769,275.454873085022,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zfeaturemap at 0x7f3badef11f0>,full,,193,lda
1,0.4883720930232558,0.4059975520195839,349.91716837882996,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zfeaturemap at 0x7f3badef11f0>,linear,,266,lda
2,0.5813953488372093,0.5387151385547536,302.3499844074249,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zfeaturemap at 0x7f3badef11f0>,circular,,223,lda
3,0.627906976744186,0.5615856433819545,470.34629821777344,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zfeaturemap at 0x7f3badef11f0>,sca,,349,lda
4,0.32558139534883723,0.3155651996163341,279.3428604602814,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,full,full,141,lda
5,0.3953488372093023,0.37571059431524556,355.2330949306488,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,full,linear,215,lda
6,0.32558139534883723,0.3120304114490161,442.67638325691223,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,full,circular,257,lda
7,0.32558139534883723,0.3174051055867415,266.92008543014526,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,full,pairwise,161,lda
8,0.4883720930232558,0.5090162915060316,379.6948506832123,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,full,sca,221,lda
9,0.3953488372093023,0.3891070170139937,394.5249264240265,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,linear,full,206,lda
10,0.37209302325581395,0.36024273925624267,400.5514612197876,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,linear,linear,253,lda
11,0.5581395348837209,0.5195191915387753,373.2047383785248,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,linear,circular,233,lda
12,0.4186046511627907,0.38801144136301463,509.56170558929443,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,linear,pairwise,327,lda
13,0.4883720930232558,0.4603789836347976,270.08498787879944,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,linear,sca,165,lda
14,0.4186046511627907,0.40185171684770726,412.43367075920105,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,circular,full,215,lda
15,0.37209302325581395,0.34351551274546327,282.7727246284485,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,circular,linear,180,lda
16,0.4418604651162791,0.41004205299690943,394.95770382881165,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,circular,circular,247,lda
17,0.3953488372093023,0.3956810631229236,268.3287651538849,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,circular,pairwise,173,lda
18,0.2558139534883721,0.18931048551611585,464.4288444519043,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,circular,sca,281,lda
19,0.37209302325581395,0.3827242524916944,280.17932319641113,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,sca,full,151,lda
20,0.37209302325581395,0.35237039482994487,342.0456042289734,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,sca,linear,222,lda
21,0.4418604651162791,0.44486121530382594,365.1797950267792,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,sca,circular,227,lda
22,0.27906976744186046,0.25116279069767444,258.4024546146393,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,sca,pairwise,167,lda
23,0.4186046511627907,0.31304960627508654,456.71704745292664,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,sca,sca,285,lda
24,0.5116279069767442,0.4612403100775194,141.71782660484314,<function get_paulitwodesign at 0x7f3badef14c0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zfeaturemap at 0x7f3badef11f0>,,,126,lda
25,0.20930232558139536,0.23126614987080105,182.9932782649994,<function get_paulitwodesign at 0x7f3badef14c0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,,full,109,lda
26,0.3953488372093023,0.36777408637873754,158.55827522277832,<function get_paulitwodesign at 0x7f3badef14c0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,,linear,119,lda
27,0.3488372093023256,0.3420521797115946,165.776207447052,<function get_paulitwodesign at 0x7f3badef14c0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,,circular,120,lda
28,0.27906976744186046,0.21657722122838405,153.34536242485046,<function get_paulitwodesign at 0x7f3badef14c0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,,pairwise,115,lda
29,0.4418604651162791,0.42877162572761524,156.11228394508362,<function get_paulitwodesign at 0x7f3badef14c0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,,sca,112,lda
