index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.27906976744186046,0.2615059359245405,353.39455103874207,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,full,,246,lda
1,0.37209302325581395,0.3229754247072406,285.7444965839386,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,linear,,217,lda
2,0.4883720930232558,0.4073291050035236,306.01079630851746,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,circular,,223,lda
3,0.37209302325581395,0.34263565891472864,276.63681530952454,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,sca,,203,lda
4,0.16279069767441862,0.18146690518783545,310.94054222106934,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,full,159,lda
5,0.16279069767441862,0.1686046511627907,260.85170316696167,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,linear,159,lda
6,0.2558139534883721,0.27630121816168324,318.03132247924805,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,circular,188,lda
7,0.18604651162790697,0.2129134768164091,268.09462308883667,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,pairwise,163,lda
8,0.16279069767441862,0.15680056377730797,348.23940658569336,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,sca,205,lda
9,0.2558139534883721,0.2759473085054481,328.80208587646484,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,full,179,lda
