index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.3488372093023256,0.3411371981751418,274.1872899532318,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,full,,193,lda
1,0.37209302325581395,0.3374014443781886,392.64251708984375,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,linear,,299,lda
2,0.27906976744186046,0.24416587084885738,305.4176561832428,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,circular,,229,lda
3,0.23255813953488372,0.24270902890557808,307.9786114692688,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,sca,,232,lda
4,0.32558139534883723,0.33512650140557115,351.79283905029297,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,full,180,lda
5,0.20930232558139536,0.22458471760797344,228.15493822097778,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,linear,140,lda
6,0.23255813953488372,0.21367371918167513,275.76059675216675,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,circular,163,lda
7,0.16279069767441862,0.1516078780460665,316.9730393886566,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,pairwise,195,lda
8,0.20930232558139536,0.24093023255813953,302.36964082717896,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,sca,179,lda
9,0.2558139534883721,0.25061622548494267,333.55100655555725,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,full,182,lda
