index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing,number_init
0,0.3488372093023256,0.3475371948577206,446.44025111198425,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,full,,277,pca,0.05
0,0.3488372093023256,0.36294580891599715,374.78244161605835,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,full,,233,pca,0.1
0,0.4418604651162791,0.43831417624521074,370.5804545879364,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,full,,231,pca,0.15000000000000002
0,0.37209302325581395,0.38461595918460134,378.11461186408997,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,full,,237,pca,0.2
0,0.3953488372093023,0.42560127211290005,796.3644692897797,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,full,,497,pca,0.25
1,0.4418604651162791,0.4280009396288466,394.6231379508972,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,268,pca,0.05
1,0.3953488372093023,0.38997821350762524,314.5744502544403,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,213,pca,0.1
1,0.37209302325581395,0.34994462901439644,405.98471999168396,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,275,pca,0.15000000000000002
1,0.3953488372093023,0.3712549759061387,403.72747921943665,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,275,pca,0.2
1,0.4186046511627907,0.3846068252433001,323.7073154449463,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,221,pca,0.25
2,0.3953488372093023,0.3490578526984687,527.0102140903473,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,351,pca,0.05
2,0.3488372093023256,0.32623190762725646,350.5352222919464,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,236,pca,0.1
2,0.3488372093023256,0.3440613026819923,482.9807324409485,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,323,pca,0.15000000000000002
2,0.37209302325581395,0.35133783445861466,309.71952629089355,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,209,pca,0.2
2,0.3953488372093023,0.3470483005366726,627.0785794258118,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,424,pca,0.25
3,0.32558139534883723,0.3335037055967288,567.872757434845,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,sca,,391,pca,0.05
3,0.4418604651162791,0.4148156551332955,567.2086734771729,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,sca,,385,pca,0.1
3,0.32558139534883723,0.32151569360871685,474.79326343536377,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,sca,,321,pca,0.15000000000000002
3,0.4418604651162791,0.4281787721982809,409.95257353782654,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,sca,,279,pca,0.2
3,0.3953488372093023,0.36530483972344435,371.71421217918396,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zfeaturemap at 0x7fad9f505430>,sca,,251,pca,0.25
4,0.3488372093023256,0.36607036374478236,447.4818480014801,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,full,187,pca,0.05
4,0.18604651162790697,0.21736832429451236,624.8595187664032,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,full,264,pca,0.1
4,0.11627906976744186,0.13792621087602727,444.6912558078766,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,full,191,pca,0.15000000000000002
4,0.27906976744186046,0.29598308668076106,510.32524275779724,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,full,219,pca,0.2
4,0.16279069767441862,0.18008445845476714,398.6484885215759,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,full,171,pca,0.25
5,0.13953488372093023,0.1559928443649374,543.8269565105438,<function get_efficientsu2 at 0x7fad98392f70>,<function get_cobyla at 0x7fad670abaf0>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,301,pca,0.05
