index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.2558139534883721,0.18050470064324592,593.6204414367676,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zfeaturemap at 0x7f3badef11f0>,full,,286,pca
1,0.37209302325581395,0.27019027484143765,558.4712610244751,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zfeaturemap at 0x7f3badef11f0>,linear,,311,pca
2,0.3953488372093023,0.2914728682170543,492.6848928928375,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zfeaturemap at 0x7f3badef11f0>,circular,,262,pca
3,0.3488372093023256,0.27088716623600345,557.1742630004883,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zfeaturemap at 0x7f3badef11f0>,sca,,296,pca
4,0.3488372093023256,0.3366351129391634,789.2746350765228,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,full,full,241,pca
5,0.27906976744186046,0.22293456246944618,594.3035106658936,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,full,linear,243,pca
6,0.3023255813953488,0.31377075037990265,617.2708477973938,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,full,circular,239,pca
7,0.4186046511627907,0.4099806201550388,880.8595111370087,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,full,pairwise,368,pca
8,0.37209302325581395,0.3834100236289018,704.6061882972717,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,full,sca,282,pca
9,0.3953488372093023,0.3834929320565436,1044.6687309741974,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_cobyla at 0x7f3b76ca7040>,<function get_zzfeaturemap at 0x7f3badef1280>,linear,full,359,pca
