index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.4186046511627907,0.3939688218757987,790.4848122596741,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,full,,379,pca
1,0.4418604651162791,0.40906189114123453,411.72129678726196,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,linear,,227,pca
2,0.37209302325581395,0.3240977708541968,571.4297378063202,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,circular,,309,pca
3,0.37209302325581395,0.37630121816168327,580.4033501148224,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,sca,,315,pca
4,0.13953488372093023,0.15229817555398953,624.764404296875,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,full,194,pca
5,0.2558139534883721,0.25281527797038705,477.4124119281769,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,linear,198,pca
6,0.18604651162790697,0.21615980918306496,555.3266589641571,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,circular,221,pca
7,0.18604651162790697,0.21928269791232977,524.2891194820404,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,pairwise,217,pca
8,0.23255813953488372,0.25871802615988665,434.32152485847473,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,sca,173,pca
9,0.16279069767441862,0.15594570579403746,534.5350148677826,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,full,180,pca
10,0.37209302325581395,0.40243113812375697,384.8895192146301,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,linear,179,pca
11,0.3023255813953488,0.31874094897350713,407.8061339855194,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,circular,185,pca
12,0.23255813953488372,0.2708912874151552,683.8404998779297,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,pairwise,315,pca
13,0.11627906976744186,0.12482305358948434,675.3815412521362,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,sca,304,pca
14,0.18604651162790697,0.23181985972683647,748.3842058181763,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,circular,full,250,pca
15,0.23255813953488372,0.26668292947362715,368.35098600387573,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,circular,linear,169,pca
16,0.11627906976744186,0.1299365750528541,535.4495484828949,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,circular,circular,227,pca
17,0.11627906976744186,0.12325581395348839,421.56046891212463,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,circular,pairwise,190,pca
18,0.27906976744186046,0.30702596283991634,544.7773659229279,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,circular,sca,233,pca
19,0.20930232558139536,0.22398289227479284,729.936322927475,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,sca,full,237,pca
20,0.18604651162790697,0.20123597332899656,507.07555103302,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,sca,linear,230,pca
21,0.23255813953488372,0.27008263054774684,558.9171559810638,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,sca,circular,235,pca
22,0.23255813953488372,0.25287356321839083,546.1777248382568,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,sca,pairwise,247,pca
23,0.11627906976744186,0.13676633444075303,393.8365228176117,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,sca,sca,171,pca
24,0.3953488372093023,0.4055536802458827,200.1279809474945,<function get_paulitwodesign at 0x7f85cfd3f4c0>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,,,127,pca
25,0.13953488372093023,0.14211886304909563,261.74178409576416,<function get_paulitwodesign at 0x7f85cfd3f4c0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,,full,97,pca
26,0.27906976744186046,0.3067552602436323,231.4798822402954,<function get_paulitwodesign at 0x7f85cfd3f4c0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,,linear,123,pca
27,0.18604651162790697,0.21056622851365017,223.73334789276123,<function get_paulitwodesign at 0x7f85cfd3f4c0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,,circular,116,pca
28,0.2558139534883721,0.29766276155505045,242.7703936100006,<function get_paulitwodesign at 0x7f85cfd3f4c0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,,pairwise,126,pca
29,0.16279069767441862,0.18123930333232657,201.87658190727234,<function get_paulitwodesign at 0x7f85cfd3f4c0>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,,sca,105,pca
30,0.46511627906976744,0.483642649792883,365.5702636241913,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,full,,206,pca
31,0.3953488372093023,0.3736599925382415,208.56427764892578,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,linear,,139,pca
32,0.3953488372093023,0.38905886833086023,277.2026867866516,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,circular,,177,pca
33,0.2558139534883721,0.2578073089700997,277.1657998561859,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,sca,,179,pca
34,0.27906976744186046,0.25899337153128865,416.0165431499481,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,full,142,pca
35,0.11627906976744186,0.15954446277473258,297.6396231651306,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,linear,140,pca
36,0.16279069767441862,0.19677002583979328,225.41211009025574,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,circular,102,pca
37,0.13953488372093023,0.16622851365015168,273.7366774082184,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,pairwise,126,pca
38,0.23255813953488372,0.2767206953253465,221.01526927947998,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,sca,101,pca
39,0.23255813953488372,0.22581139790442115,392.6364164352417,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,full,148,pca
40,0.18604651162790697,0.21274167356068263,201.5677719116211,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,linear,110,pca
41,0.16279069767441862,0.1668727573256337,204.41163229942322,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,circular,110,pca
42,0.18604651162790697,0.2022551092318534,189.6876072883606,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,pairwise,103,pca
43,0.20930232558139536,0.24060822898032197,258.7477843761444,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,sca,134,pca
44,0.2558139534883721,0.2953723279304675,309.58867597579956,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,circular,full,115,pca
45,0.2558139534883721,0.2773675936466634,209.36518096923828,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,circular,linear,111,pca
46,0.20930232558139536,0.2399393326592518,230.42342925071716,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,circular,circular,121,pca
47,0.3023255813953488,0.32135149425341536,195.2112169265747,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,circular,pairwise,104,pca
48,0.2558139534883721,0.2958656330749354,254.43759632110596,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,circular,sca,136,pca
49,0.20930232558139536,0.22182468694096602,256.2401909828186,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,sca,full,98,pca
50,0.16279069767441862,0.18440216114634722,219.12895846366882,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,sca,linear,116,pca
51,0.09302325581395349,0.11738648947951273,200.53532338142395,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,sca,circular,103,pca
52,0.11627906976744186,0.11627906976744186,219.8449628353119,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,sca,pairwise,118,pca
53,0.16279069767441862,0.16583184257602862,218.4555206298828,<function get_realamplitudes at 0x7f85c9688550>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,sca,sca,112,pca
54,0.32558139534883723,0.330134981297772,227.28855514526367,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,full,,129,pca
55,0.4418604651162791,0.4225699281963349,215.91470575332642,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,linear,,145,pca
56,0.4418604651162791,0.43475594173268595,233.44389009475708,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,circular,,155,pca
57,0.46511627906976744,0.47187022616749613,265.9470772743225,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,pairwise,,190,pca
58,0.3488372093023256,0.3310782241014799,237.78771877288818,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,sca,,156,pca
59,0.18604651162790697,0.17763631717120087,299.0234065055847,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,full,116,pca
60,0.20930232558139536,0.23646854981004306,323.60409331321716,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,linear,155,pca
61,0.2558139534883721,0.29034767052967253,162.17847561836243,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,circular,87,pca
62,0.27906976744186046,0.2990361077111383,275.9537034034729,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,pairwise,129,pca
63,0.2558139534883721,0.2664451827242525,188.44982314109802,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,sca,91,pca
64,0.16279069767441862,0.18604651162790697,293.1307580471039,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,full,111,pca
65,0.16279069767441862,0.14570241306408108,146.1201891899109,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,linear,90,pca
66,0.11627906976744186,0.1311188811188811,246.79387664794922,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,circular,133,pca
67,0.2558139534883721,0.2949995740693415,160.10552072525024,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,pairwise,93,pca
68,0.27906976744186046,0.29151984965938454,201.4845507144928,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,sca,107,pca
69,0.18604651162790697,0.20683579985905567,271.6147174835205,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,circular,full,116,pca
70,0.23255813953488372,0.23724621631598378,173.45273303985596,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,circular,linear,93,pca
71,0.13953488372093023,0.14820821241448137,209.13402676582336,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,circular,circular,122,pca
72,0.16279069767441862,0.18294573643410852,190.5801064968109,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,circular,pairwise,105,pca
73,0.06976744186046512,0.06448202959830866,187.84845399856567,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,circular,sca,145,pca
74,0.2558139534883721,0.270691410226294,303.19954347610474,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,pairwise,full,130,pca
75,0.18604651162790697,0.22512422977539256,154.60645294189453,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,pairwise,linear,154,pca
76,0.2558139534883721,0.29294573643410854,281.762090921402,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,pairwise,circular,162,pca
77,0.3953488372093023,0.4256825075834176,138.38492059707642,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,pairwise,pairwise,132,pca
78,0.23255813953488372,0.24176356589147285,231.7270028591156,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,pairwise,sca,133,pca
79,0.20930232558139536,0.22361359570661896,166.72931289672852,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,sca,full,111,pca
80,0.13953488372093023,0.14573643410852713,179.08223915100098,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,sca,linear,108,pca
81,0.3488372093023256,0.36219168428470755,123.8367486000061,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,sca,circular,117,pca
82,0.18604651162790697,0.22148394241417493,178.39373469352722,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,sca,pairwise,117,pca
83,0.13953488372093023,0.11975569649988256,123.51854014396667,<function get_twolocal at 0x7f85cfd3f310>,<function get_cobyla at 0x7f8598af7040>,<function get_zzfeaturemap at 0x7f85cfd3f280>,sca,sca,120,pca
