index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.4883720930232558,0.48842131167712566,426.36973333358765,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,full,,202,pca
1,0.4418604651162791,0.4125203427529009,449.5283443927765,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,linear,,247,pca
2,0.3023255813953488,0.2586194167589516,428.00583600997925,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,circular,,228,pca
3,0.4186046511627907,0.3953488372093023,763.0100066661835,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,sca,,405,pca
4,0.20930232558139536,0.2254133070614365,812.02583527565,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,full,249,pca
5,0.23255813953488372,0.26660790058161143,583.885703086853,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,linear,239,pca
6,0.16279069767441862,0.1751937984496124,631.0533652305603,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,circular,250,pca
7,0.13953488372093023,0.16648620657188584,487.13219809532166,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,pairwise,197,pca
8,0.20930232558139536,0.2315010570824524,640.5130798816681,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,sca,253,pca
9,0.23255813953488372,0.23581328232491022,472.04377126693726,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,full,159,pca
10,0.27906976744186046,0.29453232066451157,590.4801287651062,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,linear,269,pca
11,0.09302325581395349,0.09322440105793837,522.0127646923065,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,circular,229,pca
12,0.2558139534883721,0.2548449612403101,330.6938614845276,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,pairwise,154,pca
13,0.13953488372093023,0.14720851930154258,688.9566035270691,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,sca,307,pca
14,0.23255813953488372,0.2707892882311487,657.1533575057983,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,full,219,pca
15,0.11627906976744186,0.13577636833450787,623.5881102085114,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,linear,286,pca
16,0.18604651162790697,0.18574156996806138,441.2748136520386,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,circular,192,pca
17,0.18604651162790697,0.22407763595034094,367.4547333717346,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,pairwise,168,pca
18,0.11627906976744186,0.15644820295983086,618.7376561164856,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,sca,265,pca
19,0.27906976744186046,0.2854928017718716,583.5478887557983,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,sca,full,193,pca
20,0.16279069767441862,0.17726813126206453,548.5942625999451,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,sca,linear,246,pca
21,0.20930232558139536,0.2278714077979684,510.53896832466125,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,sca,circular,221,pca
22,0.20930232558139536,0.2347545219638243,414.4725821018219,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,sca,pairwise,178,pca
23,0.09302325581395349,0.11434108527131781,529.7740087509155,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,sca,sca,233,pca
24,0.46511627906976744,0.451637348439674,214.14271903038025,<function get_paulitwodesign at 0x7f2b7ee4a4c0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,,,136,pca
25,0.20930232558139536,0.22865235539654144,280.7187657356262,<function get_paulitwodesign at 0x7f2b7ee4a4c0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,,full,103,pca
26,0.11627906976744186,0.11627906976744186,217.28941774368286,<function get_paulitwodesign at 0x7f2b7ee4a4c0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,,linear,117,pca
27,0.18604651162790697,0.2112860338496602,313.9722640514374,<function get_paulitwodesign at 0x7f2b7ee4a4c0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,,circular,164,pca
28,0.2558139534883721,0.2919359710057385,258.0343859195709,<function get_paulitwodesign at 0x7f2b7ee4a4c0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,,pairwise,137,pca
29,0.23255813953488372,0.2633273703041145,206.3079216480255,<function get_paulitwodesign at 0x7f2b7ee4a4c0>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,,sca,104,pca
30,0.46511627906976744,0.4670535765809584,312.44263076782227,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,full,,176,pca
31,0.3488372093023256,0.32517401122052286,225.1900999546051,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,linear,,149,pca
32,0.27906976744186046,0.25706231752743375,242.23672151565552,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,circular,,159,pca
33,0.27906976744186046,0.2843967402106937,208.52642798423767,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,sca,,135,pca
34,0.2558139534883721,0.27625862509583443,310.46410393714905,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,full,105,pca
35,0.18604651162790697,0.20606060606060608,224.47883081436157,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,linear,104,pca
36,0.2558139534883721,0.27051361770924015,238.1162838935852,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,circular,109,pca
37,0.23255813953488372,0.25935288169868553,284.5023605823517,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,pairwise,134,pca
38,0.23255813953488372,0.26039464411557434,233.60229396820068,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,sca,108,pca
39,0.20930232558139536,0.2341353736702574,323.6531980037689,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,full,124,pca
40,0.20930232558139536,0.23610188261351056,256.7581579685211,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,linear,141,pca
41,0.27906976744186046,0.33100775193798454,165.51291370391846,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,circular,88,pca
42,0.23255813953488372,0.27212066174438343,154.86154532432556,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,pairwise,86,pca
43,0.11627906976744186,0.12335692618806876,172.19441103935242,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,sca,93,pca
44,0.23255813953488372,0.2618539382947877,330.4258654117584,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,full,121,pca
45,0.27906976744186046,0.30244484197972565,230.5721321105957,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,linear,125,pca
46,0.06976744186046512,0.08274173806609547,195.2640345096588,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,circular,103,pca
47,0.11627906976744186,0.16109936575052855,209.55601286888123,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,pairwise,114,pca
48,0.20930232558139536,0.2191567560627217,237.77474093437195,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,sca,125,pca
49,0.18604651162790697,0.19721219124656938,315.2268030643463,<function get_realamplitudes at 0x7f2b78793550>,<function get_cobyla at 0x7f2b47c04040>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,sca,full,120,pca
