index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing,number_init
0,0.20930232558139536,0.21364681829798107,1133.5022857189178,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,full,,1000,lda,0.05
0,0.2558139534883721,0.23897796395268592,1131.7029852867126,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,full,,1000,lda,0.1
0,0.20930232558139536,0.20361757105943154,1132.5365419387817,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,full,,1000,lda,0.15000000000000002
0,0.3023255813953488,0.3106927525532177,1132.4395825862885,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,full,,1000,lda,0.2
0,0.2558139534883721,0.23456945317410433,1130.9205393791199,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,full,,1000,lda,0.25
1,0.18604651162790697,0.21332589519193895,1085.3920707702637,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,1000,lda,0.05
1,0.3488372093023256,0.33035495716034274,1032.7420301437378,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,952,lda,0.1
1,0.23255813953488372,0.27870062753783686,1085.4203913211823,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,1000,lda,0.15000000000000002
1,0.2558139534883721,0.24384900572969326,1086.0683979988098,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,1000,lda,0.2
1,0.3023255813953488,0.31171602424415623,1086.2905294895172,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,1000,lda,0.25
2,0.2558139534883721,0.22085087201366274,1096.1914322376251,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,1000,lda,0.05
2,0.32558139534883723,0.2977482465854559,1094.8216705322266,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,1000,lda,0.1
2,0.27906976744186046,0.2528675155214143,1094.813734292984,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,1000,lda,0.15000000000000002
2,0.3488372093023256,0.3677093449186472,1095.4490144252777,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,1000,lda,0.2
2,0.18604651162790697,0.19707290458978385,1093.5391199588776,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,1000,lda,0.25
3,0.11627906976744186,0.15715292459478505,1096.0705988407135,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,sca,,1000,lda,0.05
3,0.046511627906976744,0.04817275747508306,1065.5393207073212,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,sca,,973,lda,0.1
3,0.23255813953488372,0.25279614217935753,1091.2152614593506,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,sca,,1000,lda,0.15000000000000002
3,0.2558139534883721,0.26168663377965706,1094.394071340561,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,sca,,1000,lda,0.2
3,0.13953488372093023,0.16613929697258076,1094.62975025177,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,sca,,1000,lda,0.25
4,0.20930232558139536,0.23138360347662673,1476.5929403305054,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,full,1000,lda,0.05
4,0.2558139534883721,0.27194593520174914,1475.2948021888733,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,full,1000,lda,0.1
4,0.37209302325581395,0.40448853472109286,1474.9584350585938,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,full,1000,lda,0.15000000000000002
4,0.23255813953488372,0.23617571059431527,1475.1897547245026,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,full,1000,lda,0.2
4,0.23255813953488372,0.25,1476.1438193321228,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,full,1000,lda,0.25
5,0.20930232558139536,0.209386221014128,1273.2959170341492,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,1000,lda,0.05
5,0.16279069767441862,0.1744186046511628,1275.4714748859406,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,1000,lda,0.1
5,0.2558139534883721,0.2487836775627473,1276.3649790287018,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,1000,lda,0.15000000000000002
5,0.32558139534883723,0.3476871965244058,1277.949624300003,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,1000,lda,0.2
5,0.2558139534883721,0.2507478087269587,1274.9946823120117,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,linear,1000,lda,0.25
6,0.23255813953488372,0.2667518527983645,1309.5897011756897,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,circular,1000,lda,0.05
6,0.16279069767441862,0.18738819320214667,1303.5460658073425,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,circular,1000,lda,0.1
6,0.11627906976744186,0.12219065808550139,1306.5010216236115,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,circular,1000,lda,0.15000000000000002
6,0.20930232558139536,0.2298607567252315,1308.1787152290344,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,circular,1000,lda,0.2
6,0.18604651162790697,0.20512820512820515,1305.213074684143,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,circular,1000,lda,0.25
7,0.2558139534883721,0.29048757107402207,1278.5108399391174,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,pairwise,1000,lda,0.05
7,0.11627906976744186,0.12729771071530427,1273.6139512062073,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,pairwise,1000,lda,0.1
7,0.20930232558139536,0.22502702137303446,1275.0756771564484,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,pairwise,1000,lda,0.15000000000000002
7,0.20930232558139536,0.22463582928699208,1275.1340551376343,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,pairwise,1000,lda,0.2
7,0.16279069767441862,0.19074465586093495,1273.3043882846832,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,pairwise,1000,lda,0.25
8,0.18604651162790697,0.21447028423772613,1311.679703950882,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,sca,1000,lda,0.05
8,0.18604651162790697,0.20832655716376647,1305.7549164295197,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,sca,1000,lda,0.1
8,0.27906976744186046,0.28508420208500407,1307.1279261112213,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,sca,1000,lda,0.15000000000000002
8,0.27906976744186046,0.3172632952626676,1307.8400559425354,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,sca,1000,lda,0.2
8,0.23255813953488372,0.2563307493540052,1305.9880368709564,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,sca,1000,lda,0.25
9,0.16279069767441862,0.16700224839759725,1429.608488559723,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,full,1000,lda,0.05
9,0.11627906976744186,0.13714285714285712,1426.551866531372,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,full,1000,lda,0.1
9,0.18604651162790697,0.2060052350750025,1425.6841752529144,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,full,1000,lda,0.15000000000000002
9,0.16279069767441862,0.1587033121916843,1427.2180397510529,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,full,1000,lda,0.2
9,0.16279069767441862,0.16909917134456026,1426.7362778186798,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,full,1000,lda,0.25
10,0.20930232558139536,0.22593170978770102,1235.0727124214172,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,linear,1000,lda,0.05
10,0.13953488372093023,0.15194216907803196,1227.9817743301392,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,linear,1000,lda,0.1
10,0.16279069767441862,0.17121090617481957,1228.2188818454742,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,linear,linear,1000,lda,0.15000000000000002
