index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.2558139534883721,0.16683518705763395,1430.439438343048,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zfeaturemap at 0x7f3badef11f0>,full,,1000,lda
1,0.11627906976744186,0.0893512851897185,1309.4216659069061,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zfeaturemap at 0x7f3badef11f0>,linear,,984,lda
2,0.32558139534883723,0.18429135585783235,1332.005205631256,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zfeaturemap at 0x7f3badef11f0>,circular,,993,lda
3,0.023255813953488372,0.0024479804161566705,1346.6203649044037,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zfeaturemap at 0x7f3badef11f0>,sca,,1000,lda
4,0.13953488372093023,0.10057976679043712,1966.2238085269928,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,full,full,1000,lda
5,0.20930232558139536,0.1883016208597604,1641.2218787670135,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,full,linear,1000,lda
6,0.09302325581395349,0.09769667297207076,1715.5048460960388,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,full,circular,1000,lda
7,0.023255813953488372,0.007155635062611807,1415.7637622356415,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,full,pairwise,847,lda
8,0.20930232558139536,0.17710196779964224,1646.5643093585968,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,full,sca,957,lda
9,0.20930232558139536,0.1674418604651163,1873.2066373825073,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,linear,full,1000,lda
10,0.16279069767441862,0.17320394469029457,1553.3588826656342,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,linear,linear,1000,lda
11,0.37209302325581395,0.36949097414213694,1591.5735561847687,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,linear,circular,1000,lda
12,0.09302325581395349,0.10738119312436806,1524.0979533195496,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,linear,pairwise,1000,lda
13,0.4186046511627907,0.39333561386488414,1579.0853388309479,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,linear,sca,1000,lda
14,0.11627906976744186,0.09682875264270611,1873.0296440124512,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,circular,full,1000,lda
15,0.2558139534883721,0.29343602134299807,1562.9408667087555,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,circular,linear,1000,lda
16,0.37209302325581395,0.3864042933810375,1619.1939051151276,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,circular,circular,1000,lda
17,0.32558139534883723,0.28552766172465216,1552.9371192455292,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,circular,pairwise,1000,lda
18,0.23255813953488372,0.2682640357058962,1589.8393881320953,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,circular,sca,998,lda
19,0.2558139534883721,0.26565295169946335,1845.5180099010468,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,sca,full,1000,lda
20,0.27906976744186046,0.25772212283840185,1544.087317943573,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,sca,linear,1000,lda
21,0.16279069767441862,0.16912795132421551,1586.6706223487854,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,sca,circular,1000,lda
22,0.2558139534883721,0.24997483137018014,1539.9304702281952,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,sca,pairwise,1000,lda
23,0.23255813953488372,0.23007217321571774,1589.314148902893,<function get_efficientsu2 at 0x7f3ba73169d0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,sca,sca,1000,lda
24,0.09302325581395349,0.08047935616515067,1061.4420132637024,<function get_paulitwodesign at 0x7f3badef14c0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zfeaturemap at 0x7f3badef11f0>,,,944,lda
25,0.16279069767441862,0.19054038872036846,1525.1794345378876,<function get_paulitwodesign at 0x7f3badef14c0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,,full,933,lda
26,0.06976744186046512,0.09234917425008425,1330.381275177002,<function get_paulitwodesign at 0x7f3badef14c0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,,linear,1000,lda
27,0.16279069767441862,0.16624895572263995,1296.2907545566559,<function get_paulitwodesign at 0x7f3badef14c0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,,circular,941,lda
28,0.06976744186046512,0.07217321571772255,1272.649435043335,<function get_paulitwodesign at 0x7f3badef14c0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,,pairwise,954,lda
29,0.09302325581395349,0.12527273694853922,1214.330863237381,<function get_paulitwodesign at 0x7f3badef14c0>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,,sca,881,lda
30,0.023255813953488372,0.007155635062611807,1088.8016290664673,<function get_realamplitudes at 0x7f3ba7839550>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zfeaturemap at 0x7f3badef11f0>,full,,903,lda
31,0.046511627906976744,0.004429678848283499,1083.555656194687,<function get_realamplitudes at 0x7f3ba7839550>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zfeaturemap at 0x7f3badef11f0>,linear,,982,lda
32,0.09302325581395349,0.06535480023852118,1052.781114578247,<function get_realamplitudes at 0x7f3ba7839550>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zfeaturemap at 0x7f3badef11f0>,circular,,951,lda
33,0.13953488372093023,0.1385080036242827,938.150660276413,<function get_realamplitudes at 0x7f3ba7839550>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zfeaturemap at 0x7f3badef11f0>,sca,,847,lda
34,0.18604651162790697,0.197588285960379,1612.8593413829803,<function get_realamplitudes at 0x7f3ba7839550>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,full,full,946,lda
35,0.20930232558139536,0.20155038759689922,1380.6477546691895,<function get_realamplitudes at 0x7f3ba7839550>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,full,linear,991,lda
36,0.27906976744186046,0.27955426356589147,1374.4612324237823,<function get_realamplitudes at 0x7f3ba7839550>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,full,circular,950,lda
37,0.11627906976744186,0.1343669250645995,1350.7427458763123,<function get_realamplitudes at 0x7f3ba7839550>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,full,pairwise,966,lda
38,0.27906976744186046,0.2751937984496124,1307.9119021892548,<function get_realamplitudes at 0x7f3ba7839550>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,full,sca,905,lda
39,0.16279069767441862,0.16879749494023752,1471.3447139263153,<function get_realamplitudes at 0x7f3ba7839550>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,linear,full,922,lda
40,0.27906976744186046,0.2941551852200567,1258.8331446647644,<function get_realamplitudes at 0x7f3ba7839550>,<function get_neldermead at 0x7f3b76ca7160>,<function get_zzfeaturemap at 0x7f3badef1280>,linear,linear,968,lda
