index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.23255813953488372,0.20678699086536337,1396.941227197647,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_neldermead at 0x7f8598af7160>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,full,,957,lda
1,0.32558139534883723,0.28341019507262816,1338.602085351944,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_neldermead at 0x7f8598af7160>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,linear,,1000,lda
2,0.13953488372093023,0.13042635658914728,1354.4205448627472,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_neldermead at 0x7f8598af7160>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,circular,,1000,lda
3,0.18604651162790697,0.2375953300065907,1348.3247306346893,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_neldermead at 0x7f8598af7160>,<function get_zfeaturemap at 0x7f85cfd3f1f0>,sca,,1000,lda
4,0.18604651162790697,0.2144357159523995,1942.0894820690155,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_neldermead at 0x7f8598af7160>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,full,1000,lda
5,0.20930232558139536,0.24677002583979327,1642.5481214523315,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_neldermead at 0x7f8598af7160>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,linear,1000,lda
6,0.16279069767441862,0.19226880298669985,1703.083174943924,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_neldermead at 0x7f8598af7160>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,circular,1000,lda
7,0.16279069767441862,0.19618366129994033,1634.2523248195648,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_neldermead at 0x7f8598af7160>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,pairwise,1000,lda
8,0.13953488372093023,0.16636851520572454,1714.6873586177826,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_neldermead at 0x7f8598af7160>,<function get_zzfeaturemap at 0x7f85cfd3f280>,full,sca,1000,lda
9,0.16279069767441862,0.18074287380622583,1860.1622450351715,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_neldermead at 0x7f8598af7160>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,full,1000,lda
10,0.18604651162790697,0.18775563456081412,1558.3828620910645,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_neldermead at 0x7f8598af7160>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,linear,1000,lda
11,0.27906976744186046,0.2796376749865122,1599.3372099399567,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_neldermead at 0x7f8598af7160>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,circular,1000,lda
12,0.13953488372093023,0.14274258219727345,1550.8254568576813,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_neldermead at 0x7f8598af7160>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,pairwise,1000,lda
13,0.2558139534883721,0.2536932834607253,1574.7959959506989,<function get_efficientsu2 at 0x7f85c91659d0>,<function get_neldermead at 0x7f8598af7160>,<function get_zzfeaturemap at 0x7f85cfd3f280>,linear,sca,1000,lda
