index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.27906976744186046,0.21992052635007486,1417.7074587345123,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,full,,1000,lda
1,0.23255813953488372,0.25792811839323465,1316.0356407165527,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,linear,,1000,lda
2,0.18604651162790697,0.1930232558139535,1325.6604418754578,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,circular,,1000,lda
3,0.3023255813953488,0.29836662394801927,1323.0755650997162,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,sca,,1000,lda
4,0.13953488372093023,0.15946843853820597,1917.3918814659119,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,full,1000,lda
5,0.2558139534883721,0.2801238382633731,1627.867108821869,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,linear,1000,lda
6,0.20930232558139536,0.2463002114164905,1674.6932625770569,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,circular,1000,lda
7,0.23255813953488372,0.23878318064364576,1623.3926498889923,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,pairwise,1000,lda
8,0.20930232558139536,0.232192407076128,1672.3749792575836,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,sca,1000,lda
9,0.13953488372093023,0.16380549682875264,1813.1153786182404,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,full,1000,lda
10,0.23255813953488372,0.2541922837031097,1521.8188498020172,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,linear,1000,lda
11,0.3023255813953488,0.29552859229300077,1559.222986459732,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,circular,1000,lda
12,0.23255813953488372,0.2427061310782241,1524.2238335609436,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,pairwise,1000,lda
13,0.16279069767441862,0.17910668143226285,1566.420606136322,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,sca,1000,lda
14,0.23255813953488372,0.24630021141649047,1830.5937900543213,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,full,1000,lda
15,0.09302325581395349,0.103359173126615,1526.7399480342865,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,linear,1000,lda
16,0.16279069767441862,0.16552992002941447,1615.044578552246,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,circular,1000,lda
17,0.27906976744186046,0.29548172757475083,1557.182340145111,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,pairwise,1000,lda
18,0.27906976744186046,0.2976233069256325,1608.7156851291656,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,sca,1000,lda
