index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing,number_init
0,0.27906976744186046,0.270671834625323,1610.3216760158539,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,full,,1000,pca,0.05
0,0.37209302325581395,0.3729487566696869,1619.9954571723938,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,full,,1000,pca,0.1
0,0.2558139534883721,0.193012596158971,1623.3959934711456,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,full,,1000,pca,0.15000000000000002
0,0.23255813953488372,0.2210345547049288,1631.3567080497742,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,full,,1000,pca,0.2
0,0.3023255813953488,0.3083935328517372,1626.681443452835,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,full,,1000,pca,0.25
1,0.2558139534883721,0.26976831729106754,1492.989109992981,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,1000,pca,0.05
1,0.3488372093023256,0.3512766303463977,1498.5851001739502,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,1000,pca,0.1
1,0.4186046511627907,0.43450543931698704,1497.5619342327118,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,1000,pca,0.15000000000000002
1,0.23255813953488372,0.21239098594524405,1500.6929249763489,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,1000,pca,0.2
1,0.2558139534883721,0.2794424988560479,1490.407100200653,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,1000,pca,0.25
2,0.13953488372093023,0.11838600675809978,1497.6124730110168,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,1000,pca,0.05
2,0.20930232558139536,0.20051679586563306,1500.08970952034,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,1000,pca,0.1
2,0.18604651162790697,0.17984496124031008,1505.9097208976746,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,1000,pca,0.15000000000000002
2,0.16279069767441862,0.17173818973084579,1499.4988324642181,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,1000,pca,0.2
2,0.3488372093023256,0.3695429351843455,1510.3350772857666,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,1000,pca,0.25
3,0.18604651162790697,0.21038085608358614,1505.6613111495972,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,sca,,1000,pca,0.05
3,0.20930232558139536,0.22195022439820483,1507.9180102348328,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,sca,,1000,pca,0.1
3,0.09302325581395349,0.09302325581395349,1506.9606006145477,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,sca,,1000,pca,0.15000000000000002
3,0.046511627906976744,0.055673009161381244,1498.8888247013092,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,sca,,1000,pca,0.2
3,0.18604651162790697,0.1936189310485516,1507.561341047287,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zfeaturemap at 0x7fad9f505430>,sca,,1000,pca,0.25
4,0.16279069767441862,0.17452934662236988,2344.176440477371,<function get_efficientsu2 at 0x7fad98392f70>,<function get_neldermead at 0x7fad670abc10>,<function get_zzfeaturemap at 0x7fad9f5054c0>,full,full,1000,pca,0.05
