index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.2558139534883721,0.2629057476856955,2110.102567911148,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,full,,1000,pca
1,0.32558139534883723,0.38242894056847543,1822.37690615654,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,linear,,1000,pca
2,0.20930232558139536,0.22932447397563674,1854.4059364795685,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,circular,,1000,pca
3,0.18604651162790697,0.22015503875968992,1838.8785588741302,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zfeaturemap at 0x7f2b7ee4a1f0>,sca,,1000,pca
4,0.20930232558139536,0.23385012919896642,3152.2910592556,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,full,1000,pca
5,0.20930232558139536,0.23164200140944327,2391.5624170303345,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,linear,1000,pca
6,0.18604651162790697,0.23062015503875968,2465.746929168701,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,circular,1000,pca
7,0.20930232558139536,0.2239388518458286,2414.3759264945984,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,pairwise,1000,pca
8,0.20930232558139536,0.22235645491459446,2474.264096260071,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,full,sca,1000,pca
9,0.23255813953488372,0.2230443974630021,2919.04967713356,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,full,1000,pca
10,0.23255813953488372,0.2504397107680282,2128.1705923080444,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,linear,1000,pca
11,0.11627906976744186,0.10126849894291756,2192.206625699997,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,circular,1000,pca
12,0.23255813953488372,0.2456334363311107,2119.946939945221,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,pairwise,1000,pca
13,0.16279069767441862,0.18144646051622793,2175.00781583786,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,linear,sca,1000,pca
14,0.11627906976744186,0.11338675004885675,3018.867483854294,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,full,1000,pca
15,0.06976744186046512,0.08114366253901138,2172.9096145629883,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,linear,1000,pca
16,0.16279069767441862,0.18036594168785108,2240.6006286144257,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,circular,1000,pca
17,0.18604651162790697,0.21483942414174975,2177.2574598789215,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,pairwise,1000,pca
18,0.18604651162790697,0.21339496364774427,2201.2186164855957,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,circular,sca,1000,pca
19,0.23255813953488372,0.23016208597603946,2925.578020334244,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,sca,full,1000,pca
20,0.20930232558139536,0.24440271558572874,2182.1202335357666,<function get_efficientsu2 at 0x7f2b7826f9d0>,<function get_neldermead at 0x7f2b47c04160>,<function get_zzfeaturemap at 0x7f2b7ee4a280>,sca,linear,1000,pca
