index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing,number_init
0,0.4418604651162791,0.4151625927156767,400.3879072666168,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,full,,351,lda,0.05
0,0.3488372093023256,0.34469895669406075,397.08701181411743,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,full,,351,lda,0.1
0,0.27906976744186046,0.23450539668409923,396.46211862564087,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,full,,351,lda,0.15000000000000002
0,0.4186046511627907,0.43015618436628866,397.89426279067993,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,full,,351,lda,0.2
0,0.3953488372093023,0.36576907384740914,398.10105085372925,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,full,,351,lda,0.25
1,0.27906976744186046,0.27066766691672917,381.84289026260376,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,351,lda,0.05
1,0.3953488372093023,0.3940702708144569,383.24795937538147,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,351,lda,0.1
1,0.4186046511627907,0.3689010487916097,382.8935465812683,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,351,lda,0.15000000000000002
1,0.37209302325581395,0.32926356589147293,382.0679740905762,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,351,lda,0.2
1,0.3488372093023256,0.3182903834066625,382.7394685745239,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,linear,,351,lda,0.25
2,0.37209302325581395,0.32465023162697576,387.2968170642853,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,351,lda,0.05
2,0.32558139534883723,0.3010553058432675,383.8493010997772,<function get_efficientsu2 at 0x7fad98392f70>,<function get_spsa at 0x7fad670abb80>,<function get_zfeaturemap at 0x7fad9f505430>,circular,,351,lda,0.1
